,0,1,2,3,4,5,6,wickets
S Sohal,75,38,9,1,15,1,10,9
KC Sangakkara,195,207,28,2,62,0,11,29
SM Katich,77,53,15,1,24,0,8,7
DPMD Jayawardene,340,321,58,2,117,1,21,33
Yuvraj Singh,466,334,57,0,90,0,61,46
IK Pathan,178,205,30,0,42,0,24,27
BB McCullum,407,300,38,2,129,0,49,45
SC Ganguly,283,195,24,1,57,0,18,20
Yashpal Singh,17,9,1,1,0,0,0,2
BJ Hodge,221,212,50,3,66,0,26,21
DJ Hussey,184,180,32,1,39,0,30,18
LR Shukla,66,48,9,0,10,0,3,11
SS Shaikh,4,2,0,0,1,0,0,0
AB Agarkar,24,27,5,0,3,0,2,3
GC Smith,202,130,16,0,49,0,2,19
SA Asnodkar,73,45,8,0,20,0,3,12
YK Pathan,444,435,71,3,135,0,101,50
SR Watson,395,340,47,5,131,0,65,41
M Klinger,17,6,1,0,3,0,0,2
PA Patel,477,325,45,6,152,0,15,49
HH Gibbs,216,121,24,2,39,1,13,16
AC Gilchrist,362,205,40,1,133,0,51,36
VVS Laxman,54,49,4,0,15,0,3,6
A Symonds,124,115,31,1,28,0,10,14
RG Sharma,573,660,75,3,152,1,71,62
MD Mishra,65,31,9,0,19,0,4,9
TL Suman,166,129,24,1,33,0,13,18
RJ Harris,27,25,6,1,3,0,1,8
R Sharma,28,8,2,0,2,0,1,6
Jaskaran Singh,4,3,1,0,0,0,0,1
PP Ojha,12,2,1,0,0,0,0,6
MA Agarwal,160,120,16,0,45,1,18,25
CH Gayle,541,324,29,1,125,0,114,37
V Kohli,591,609,112,5,175,0,69,62
AB de Villiers,393,391,71,5,107,0,55,43
SS Tiwary,217,213,36,1,29,0,21,22
M Kaif,74,53,14,1,16,0,4,8
DL Vettori,25,26,0,0,6,0,2,3
R Vinay Kumar,64,65,15,0,11,0,2,11
Z Khan,45,32,4,0,4,0,0,10
S Aravind,17,14,4,0,7,0,0,2
M Muralitharan,8,2,1,1,0,0,0,3
M Rawat,26,23,2,0,4,0,1,2
MK Pandey,410,434,60,7,105,2,30,42
MJ Clarke,33,30,4,0,11,0,0,5
SPD Smith,265,313,66,2,78,0,25,26
RV Uthappa,675,583,117,8,228,1,84,77
M Manhas,115,118,23,0,23,0,6,12
MN Samuels,40,19,4,0,3,0,1,6
SR Tendulkar,413,364,55,3,134,0,13,31
KD Karthik,385,449,73,1,136,0,25,59
AT Rayudu,338,392,62,1,101,0,30,40
KA Pollard,289,263,50,3,65,0,71,36
DR Smith,397,245,44,2,132,1,68,37
Harbhajan Singh,127,88,13,0,28,0,21,27
SL Malinga,42,24,1,0,5,0,4,9
RP Singh,23,17,1,0,1,0,0,8
AM Nayar,112,113,17,1,28,1,8,20
AM Rahane,497,503,82,9,146,0,26,42
SV Samson,270,243,50,4,56,0,33,34
STR Binny,121,131,26,3,28,0,12,17
R Bhatia,62,66,15,0,9,0,7,17
JP Faulkner,66,89,19,1,25,0,12,12
TG Southee,5,9,2,0,2,0,0,2
DS Kulkarni,42,32,7,0,4,0,2,5
PV Tambe,22,12,0,0,1,0,0,1
ST Jayasuriya,118,44,10,1,30,0,22,12
JP Duminy,206,259,50,5,41,0,21,21
PR Shah,12,5,3,0,3,0,2,2
DJ Bravo,207,159,39,2,44,0,19,24
RR Raje,1,5,0,0,0,0,1,0
SK Raina,485,536,78,5,182,1,73,49
RA Jadeja,248,284,59,4,55,0,26,34
Ishan Kishan,38,34,6,0,14,0,4,7
P Kumar,75,40,9,0,10,0,9,15
JC Buttler,80,85,13,0,29,0,19,12
N Rana,92,87,8,1,19,0,15,8
HH Pandya,49,49,5,1,10,0,14,8
KK Nair,204,160,34,2,78,0,14,23
RR Pant,91,109,18,1,36,0,22,11
SS Iyer,142,117,18,0,45,0,15,14
CJ Anderson,76,48,9,0,18,0,13,8
RA Tripathi,66,38,5,0,23,0,11,5
MK Tiwary,304,277,32,3,80,3,18,31
BA Stokes,45,57,9,0,15,0,8,6
MS Dhoni,364,426,92,4,91,0,57,40
DT Christian,30,47,7,1,6,0,6,6
Washington Sundar,3,2,2,0,0,0,0,0
DA Warner,526,443,113,5,192,0,74,45
S Dhawan,491,410,71,6,145,1,24,36
MC Henriques,86,88,17,0,29,0,3,12
V Shankar,14,28,5,0,10,0,0,0
