ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,LMP Simmons,A Nehra,MEK Hussey,1,Not out
0.2,MEK Hussey,A Nehra,LMP Simmons,1,Not out
0.3,LMP Simmons,A Nehra,MEK Hussey,4,Not out
0.4,LMP Simmons,A Nehra,MEK Hussey,0,Not out
0.5,LMP Simmons,A Nehra,MEK Hussey,0,Not out
0.6,LMP Simmons,A Nehra,MEK Hussey,0,Not out
1.1,MEK Hussey,IC Pandey,LMP Simmons,0,Not out
1.2,MEK Hussey,IC Pandey,LMP Simmons,0,Not out
1.3,MEK Hussey,IC Pandey,LMP Simmons,0,Not out
1.4,LMP Simmons,IC Pandey,MEK Hussey,4,Not out
1.5,LMP Simmons,IC Pandey,MEK Hussey,1,Not out
1.6,MEK Hussey,IC Pandey,LMP Simmons,1,Not out
2.1,MEK Hussey,A Nehra,LMP Simmons,0,Not out
2.2,MEK Hussey,A Nehra,LMP Simmons,0,Not out
2.3,MEK Hussey,A Nehra,LMP Simmons,1,Not out
2.4,LMP Simmons,A Nehra,MEK Hussey,1,Not out
2.5,MEK Hussey,A Nehra,LMP Simmons,1,Not out
2.6,LMP Simmons,A Nehra,MEK Hussey,1,Not out
3.1,LMP Simmons,MM Sharma,MEK Hussey,1,Not out
3.2,MEK Hussey,MM Sharma,LMP Simmons,0,Not out
3.3,MEK Hussey,MM Sharma,LMP Simmons,4,Not out
3.4,MEK Hussey,MM Sharma,LMP Simmons,0,Not out
3.5,MEK Hussey,MM Sharma,LMP Simmons,1,Not out
3.6,LMP Simmons,MM Sharma,MEK Hussey,0,Not out
4.1,MEK Hussey,IC Pandey,LMP Simmons,4,Not out
4.2,MEK Hussey,IC Pandey,LMP Simmons,4,Not out
4.3,MEK Hussey,IC Pandey,LMP Simmons,0,Not out
4.4,MEK Hussey,IC Pandey,LMP Simmons,0,Not out
4.5,LMP Simmons,IC Pandey,MEK Hussey,1,Not out
4.6,MEK Hussey,IC Pandey,LMP Simmons,1,Not out
5.1,MEK Hussey,MM Sharma,LMP Simmons,4,Not out
5.2,MEK Hussey,MM Sharma,LMP Simmons,1,Not out
5.3,LMP Simmons,MM Sharma,MEK Hussey,4,Not out
5.4,LMP Simmons,MM Sharma,MEK Hussey,6,Not out
5.5,LMP Simmons,MM Sharma,MEK Hussey,4,Not out
5.6,LMP Simmons,MM Sharma,MEK Hussey,0,Not out
6.1,MEK Hussey,R Ashwin,LMP Simmons,0,Not out
6.2,MEK Hussey,R Ashwin,LMP Simmons,0,Not out
6.3,MEK Hussey,R Ashwin,LMP Simmons,3,Not out
