ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,SP Narine,B Kumar,G Gambhir,1,Not out
0.2,G Gambhir,B Kumar,SP Narine,1,Not out
0.3,SP Narine,B Kumar,G Gambhir,0,Not out
0.4,SP Narine,B Kumar,G Gambhir,0,Not out
0.5,SP Narine,B Kumar,G Gambhir,0,Not out
0.6,G Gambhir,B Kumar,SP Narine,0,Not out
1.1,SP Narine,A Nehra,G Gambhir,0,Not out
1.2,SP Narine,A Nehra,G Gambhir,4,Not out
1.3,SP Narine,A Nehra,G Gambhir,0,Not out
1.4,SP Narine,A Nehra,G Gambhir,1,Not out
1.5,G Gambhir,A Nehra,SP Narine,0,Not out
1.6,G Gambhir,A Nehra,SP Narine,1,Not out
2.1,G Gambhir,B Kumar,SP Narine,1,Not out
2.2,SP Narine,B Kumar,G Gambhir,0,bowled
2.3,RV Uthappa,B Kumar,G Gambhir,0,Not out
2.4,RV Uthappa,B Kumar,G Gambhir,0,Not out
2.5,RV Uthappa,B Kumar,G Gambhir,3,Not out
2.6,G Gambhir,B Kumar,RV Uthappa,1,Not out
3.1,G Gambhir,A Nehra,RV Uthappa,4,Not out
3.2,G Gambhir,A Nehra,RV Uthappa,0,Not out
3.3,G Gambhir,A Nehra,RV Uthappa,0,Not out
3.4,G Gambhir,A Nehra,RV Uthappa,0,Not out
3.5,G Gambhir,A Nehra,RV Uthappa,0,Not out
3.6,G Gambhir,A Nehra,RV Uthappa,0,Not out
3.7,G Gambhir,A Nehra,RV Uthappa,1,Not out
4.1,G Gambhir,BCJ Cutting,RV Uthappa,1,Not out
4.2,RV Uthappa,BCJ Cutting,G Gambhir,4,Not out
4.3,RV Uthappa,BCJ Cutting,G Gambhir,1,Not out
4.4,G Gambhir,BCJ Cutting,RV Uthappa,4,Not out
4.5,G Gambhir,BCJ Cutting,RV Uthappa,0,Not out
4.6,G Gambhir,BCJ Cutting,RV Uthappa,1,Not out
4.7,RV Uthappa,BCJ Cutting,G Gambhir,1,Not out
5.1,RV Uthappa,Rashid Khan,G Gambhir,0,Not out
5.2,RV Uthappa,Rashid Khan,G Gambhir,6,Not out
5.3,RV Uthappa,Rashid Khan,G Gambhir,1,Not out
5.4,G Gambhir,Rashid Khan,RV Uthappa,0,bowled
5.5,MK Pandey,Rashid Khan,RV Uthappa,0,Not out
5.6,MK Pandey,Rashid Khan,RV Uthappa,0,Not out
6.1,RV Uthappa,BCJ Cutting,MK Pandey,1,Not out
6.2,MK Pandey,BCJ Cutting,RV Uthappa,1,Not out
6.3,RV Uthappa,BCJ Cutting,MK Pandey,1,Not out
6.4,MK Pandey,BCJ Cutting,RV Uthappa,1,Not out
6.5,RV Uthappa,BCJ Cutting,MK Pandey,2,Not out
6.6,RV Uthappa,BCJ Cutting,MK Pandey,1,Not out
7.1,RV Uthappa,Rashid Khan,MK Pandey,1,Not out
7.2,MK Pandey,Rashid Khan,RV Uthappa,0,Not out
7.3,MK Pandey,Rashid Khan,RV Uthappa,2,Not out
7.4,MK Pandey,Rashid Khan,RV Uthappa,1,Not out
7.5,RV Uthappa,Rashid Khan,MK Pandey,1,Not out
7.6,MK Pandey,Rashid Khan,RV Uthappa,1,Not out
8.1,MK Pandey,MC Henriques,RV Uthappa,1,Not out
8.2,RV Uthappa,MC Henriques,MK Pandey,0,Not out
8.3,RV Uthappa,MC Henriques,MK Pandey,6,Not out
8.4,RV Uthappa,MC Henriques,MK Pandey,0,Not out
8.5,RV Uthappa,MC Henriques,MK Pandey,0,Not out
8.6,RV Uthappa,MC Henriques,MK Pandey,1,Not out
8.7,MK Pandey,MC Henriques,RV Uthappa,1,Not out
9.1,MK Pandey,Bipul Sharma,RV Uthappa,0,Not out
9.2,MK Pandey,Bipul Sharma,RV Uthappa,0,Not out
9.3,MK Pandey,Bipul Sharma,RV Uthappa,1,Not out
9.4,RV Uthappa,Bipul Sharma,MK Pandey,0,Not out
9.5,RV Uthappa,Bipul Sharma,MK Pandey,6,Not out
9.6,RV Uthappa,Bipul Sharma,MK Pandey,1,Not out
10.1,RV Uthappa,MC Henriques,MK Pandey,6,Not out
10.2,RV Uthappa,MC Henriques,MK Pandey,1,Not out
10.3,MK Pandey,MC Henriques,RV Uthappa,1,Not out
10.4,RV Uthappa,MC Henriques,MK Pandey,2,Not out
10.5,RV Uthappa,MC Henriques,MK Pandey,1,Not out
10.6,MK Pandey,MC Henriques,RV Uthappa,1,Not out
11.1,MK Pandey,Rashid Khan,RV Uthappa,1,Not out
11.2,RV Uthappa,Rashid Khan,MK Pandey,4,Not out
11.3,RV Uthappa,Rashid Khan,MK Pandey,0,Not out
11.4,RV Uthappa,Rashid Khan,MK Pandey,1,Not out
11.5,MK Pandey,Rashid Khan,RV Uthappa,0,Not out
11.6,MK Pandey,Rashid Khan,RV Uthappa,1,Not out
12.1,MK Pandey,A Nehra,RV Uthappa,1,Not out
12.2,RV Uthappa,A Nehra,MK Pandey,0,Not out
12.3,RV Uthappa,A Nehra,MK Pandey,4,Not out
12.4,RV Uthappa,A Nehra,MK Pandey,4,Not out
12.5,RV Uthappa,A Nehra,MK Pandey,1,Not out
12.6,MK Pandey,A Nehra,RV Uthappa,4,Not out
13.1,RV Uthappa,Rashid Khan,MK Pandey,4,Not out
