ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,Mandeep Singh,DP Nannes,AC Gilchrist,4,Not out
0.2,Mandeep Singh,DP Nannes,AC Gilchrist,0,Not out
0.3,Mandeep Singh,DP Nannes,AC Gilchrist,0,Not out
0.4,Mandeep Singh,DP Nannes,AC Gilchrist,0,Not out
0.5,Mandeep Singh,DP Nannes,AC Gilchrist,1,Not out
0.6,AC Gilchrist,DP Nannes,Mandeep Singh,0,Not out
1.1,Mandeep Singh,AS Rajpoot,AC Gilchrist,1,Not out
1.2,AC Gilchrist,AS Rajpoot,Mandeep Singh,1,Not out
1.3,Mandeep Singh,AS Rajpoot,AC Gilchrist,0,Not out
1.4,AC Gilchrist,AS Rajpoot,Mandeep Singh,4,Not out
1.5,AC Gilchrist,AS Rajpoot,Mandeep Singh,0,Not out
1.6,AC Gilchrist,AS Rajpoot,Mandeep Singh,4,Not out
2.1,Mandeep Singh,DP Nannes,AC Gilchrist,2,Not out
2.2,Mandeep Singh,DP Nannes,AC Gilchrist,1,Not out
2.3,AC Gilchrist,DP Nannes,Mandeep Singh,0,caught
2.4,M Vohra,DP Nannes,Mandeep Singh,1,Not out
2.5,Mandeep Singh,DP Nannes,M Vohra,0,caught
2.6,M Vohra,DP Nannes,DJ Hussey,0,Not out
3.1,DJ Hussey,CH Morris,M Vohra,0,Not out
3.2,DJ Hussey,CH Morris,M Vohra,1,Not out
3.3,M Vohra,CH Morris,DJ Hussey,0,Not out
3.4,M Vohra,CH Morris,DJ Hussey,4,Not out
3.5,M Vohra,CH Morris,DJ Hussey,2,Not out
3.6,M Vohra,CH Morris,DJ Hussey,4,Not out
4.1,DJ Hussey,DP Nannes,M Vohra,0,Not out
4.2,DJ Hussey,DP Nannes,M Vohra,2,Not out
4.3,DJ Hussey,DP Nannes,M Vohra,0,Not out
4.4,DJ Hussey,DP Nannes,M Vohra,4,Not out
4.5,DJ Hussey,DP Nannes,M Vohra,1,Not out
4.6,M Vohra,DP Nannes,DJ Hussey,0,Not out
5.1,DJ Hussey,CH Morris,M Vohra,0,Not out
5.2,DJ Hussey,CH Morris,M Vohra,0,Not out
5.3,DJ Hussey,CH Morris,M Vohra,0,Not out
5.4,DJ Hussey,CH Morris,M Vohra,4,Not out
5.5,DJ Hussey,CH Morris,M Vohra,0,Not out
5.6,DJ Hussey,CH Morris,M Vohra,1,Not out
6.1,DJ Hussey,RA Jadeja,M Vohra,1,Not out
6.2,M Vohra,RA Jadeja,DJ Hussey,1,Not out
6.3,DJ Hussey,RA Jadeja,M Vohra,1,Not out
6.4,M Vohra,RA Jadeja,DJ Hussey,4,Not out
6.5,M Vohra,RA Jadeja,DJ Hussey,0,Not out
6.6,M Vohra,RA Jadeja,DJ Hussey,0,caught
7.1,Gurkeerat Singh,DJ Bravo,DJ Hussey,1,Not out
7.2,DJ Hussey,DJ Bravo,Gurkeerat Singh,4,Not out
