ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,S Dhawan,P Kumar,PA Patel,0,Not out
0.2,S Dhawan,P Kumar,PA Patel,4,Not out
0.3,S Dhawan,P Kumar,PA Patel,1,Not out
0.4,PA Patel,P Kumar,S Dhawan,0,Not out
0.5,PA Patel,P Kumar,S Dhawan,0,Not out
0.6,PA Patel,P Kumar,S Dhawan,0,Not out
1.1,S Dhawan,DJ Hussey,PA Patel,0,Not out
1.2,S Dhawan,DJ Hussey,PA Patel,1,Not out
1.3,PA Patel,DJ Hussey,S Dhawan,0,Not out
1.4,S Dhawan,DJ Hussey,PA Patel,1,Not out
1.5,PA Patel,DJ Hussey,S Dhawan,4,Not out
1.6,PA Patel,DJ Hussey,S Dhawan,1,Not out
1.7,S Dhawan,DJ Hussey,PA Patel,6,Not out
2.1,PA Patel,P Kumar,S Dhawan,0,Not out
2.2,PA Patel,P Kumar,S Dhawan,0,Not out
2.3,PA Patel,P Kumar,S Dhawan,1,Not out
2.4,S Dhawan,P Kumar,PA Patel,0,Not out
2.5,S Dhawan,P Kumar,PA Patel,1,Not out
2.6,PA Patel,P Kumar,S Dhawan,5,Not out
3.1,PA Patel,RJ Harris,S Dhawan,1,Not out
3.2,S Dhawan,RJ Harris,PA Patel,0,Not out
3.3,S Dhawan,RJ Harris,PA Patel,0,Not out
3.4,S Dhawan,RJ Harris,PA Patel,0,Not out
3.5,S Dhawan,RJ Harris,PA Patel,4,Not out
3.6,S Dhawan,RJ Harris,PA Patel,1,Not out
4.1,S Dhawan,P Awana,PA Patel,0,Not out
4.2,S Dhawan,P Awana,PA Patel,1,Not out
4.3,PA Patel,P Awana,S Dhawan,4,Not out
4.4,PA Patel,P Awana,S Dhawan,0,Not out
4.5,S Dhawan,P Awana,PA Patel,0,Not out
4.6,S Dhawan,P Awana,PA Patel,2,Not out
5.1,PA Patel,Azhar Mahmood,S Dhawan,1,Not out
5.2,S Dhawan,Azhar Mahmood,PA Patel,2,Not out
5.3,S Dhawan,Azhar Mahmood,PA Patel,1,Not out
5.4,PA Patel,Azhar Mahmood,S Dhawan,1,Not out
5.5,S Dhawan,Azhar Mahmood,PA Patel,1,Not out
5.6,PA Patel,Azhar Mahmood,S Dhawan,0,caught
6.1,KC Sangakkara,P Awana,S Dhawan,0,Not out
6.2,KC Sangakkara,P Awana,S Dhawan,1,Not out
6.3,S Dhawan,P Awana,KC Sangakkara,0,Not out
6.4,S Dhawan,P Awana,KC Sangakkara,1,Not out
6.5,KC Sangakkara,P Awana,S Dhawan,0,Not out
6.6,KC Sangakkara,P Awana,S Dhawan,0,caught
7.1,S Dhawan,RJ Harris,CL White,1,Not out
