ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,V Sehwag,Mohammed Shami,M Vohra,1,Not out
0.2,M Vohra,Mohammed Shami,V Sehwag,1,Not out
0.3,V Sehwag,Mohammed Shami,M Vohra,0,Not out
0.4,V Sehwag,Mohammed Shami,M Vohra,0,Not out
0.5,V Sehwag,Mohammed Shami,M Vohra,4,Not out
0.6,V Sehwag,Mohammed Shami,M Vohra,4,Not out
1.1,M Vohra,JD Unadkat,V Sehwag,2,Not out
1.2,M Vohra,JD Unadkat,V Sehwag,0,Not out
1.3,M Vohra,JD Unadkat,V Sehwag,0,Not out
1.4,M Vohra,JD Unadkat,V Sehwag,0,Not out
1.5,M Vohra,JD Unadkat,V Sehwag,0,Not out
1.6,M Vohra,JD Unadkat,V Sehwag,0,Not out
2.1,V Sehwag,Mohammed Shami,M Vohra,0,Not out
2.2,V Sehwag,Mohammed Shami,M Vohra,0,Not out
2.3,V Sehwag,Mohammed Shami,M Vohra,0,caught
2.4,GJ Maxwell,Mohammed Shami,M Vohra,0,Not out
2.5,M Vohra,Mohammed Shami,GJ Maxwell,0,Not out
2.6,M Vohra,Mohammed Shami,GJ Maxwell,0,Not out
2.7,M Vohra,Mohammed Shami,GJ Maxwell,2,Not out
3.1,GJ Maxwell,JD Unadkat,M Vohra,0,Not out
3.2,GJ Maxwell,JD Unadkat,M Vohra,0,caught
3.3,DA Miller,JD Unadkat,M Vohra,0,Not out
3.4,DA Miller,JD Unadkat,M Vohra,0,Not out
3.5,DA Miller,JD Unadkat,M Vohra,0,Not out
3.6,DA Miller,JD Unadkat,M Vohra,1,Not out
4.1,DA Miller,Mohammed Shami,M Vohra,0,Not out
4.2,DA Miller,Mohammed Shami,M Vohra,1,Not out
4.3,M Vohra,Mohammed Shami,DA Miller,1,Not out
4.4,DA Miller,Mohammed Shami,M Vohra,0,Not out
4.5,DA Miller,Mohammed Shami,M Vohra,6,Not out
4.6,DA Miller,Mohammed Shami,M Vohra,0,Not out
4.7,DA Miller,Mohammed Shami,M Vohra,4,Not out
5.1,M Vohra,JDS Neesham,DA Miller,0,Not out
5.2,M Vohra,JDS Neesham,DA Miller,4,Not out
5.3,M Vohra,JDS Neesham,DA Miller,0,Not out
5.4,M Vohra,JDS Neesham,DA Miller,4,Not out
5.5,M Vohra,JDS Neesham,DA Miller,0,Not out
5.6,M Vohra,JDS Neesham,DA Miller,6,Not out
6.1,DA Miller,JP Duminy,M Vohra,0,Not out
6.2,DA Miller,JP Duminy,M Vohra,1,Not out
6.3,M Vohra,JP Duminy,DA Miller,4,Not out
6.4,M Vohra,JP Duminy,DA Miller,0,Not out
6.5,M Vohra,JP Duminy,DA Miller,1,Not out
6.6,DA Miller,JP Duminy,M Vohra,0,Not out
6.7,DA Miller,JP Duminy,M Vohra,1,Not out
7.1,DA Miller,Imran Tahir,M Vohra,1,Not out
7.2,M Vohra,Imran Tahir,DA Miller,0,Not out
7.3,M Vohra,Imran Tahir,DA Miller,0,Not out
7.4,M Vohra,Imran Tahir,DA Miller,1,Not out
7.5,DA Miller,Imran Tahir,M Vohra,4,Not out
7.6,DA Miller,Imran Tahir,M Vohra,0,Not out
8.1,M Vohra,JP Duminy,DA Miller,1,Not out
8.2,DA Miller,JP Duminy,M Vohra,0,Not out
8.3,DA Miller,JP Duminy,M Vohra,0,Not out
8.4,DA Miller,JP Duminy,M Vohra,1,Not out
8.5,M Vohra,JP Duminy,DA Miller,1,Not out
8.6,DA Miller,JP Duminy,M Vohra,0,Not out
9.1,M Vohra,Imran Tahir,DA Miller,1,Not out
9.2,DA Miller,Imran Tahir,M Vohra,1,Not out
9.3,M Vohra,Imran Tahir,DA Miller,1,Not out
9.4,DA Miller,Imran Tahir,M Vohra,1,Not out
9.5,M Vohra,Imran Tahir,DA Miller,0,Not out
9.6,M Vohra,Imran Tahir,DA Miller,0,Not out
9.7,M Vohra,Imran Tahir,DA Miller,4,Not out
10.1,DA Miller,S Nadeem,M Vohra,1,Not out
10.2,M Vohra,S Nadeem,DA Miller,6,Not out
10.3,M Vohra,S Nadeem,DA Miller,1,Not out
10.4,DA Miller,S Nadeem,M Vohra,2,Not out
10.5,DA Miller,S Nadeem,M Vohra,1,Not out
10.6,M Vohra,S Nadeem,DA Miller,0,Not out
10.7,M Vohra,S Nadeem,DA Miller,2,Not out
11.1,DA Miller,Imran Tahir,M Vohra,2,Not out
11.2,DA Miller,Imran Tahir,M Vohra,1,Not out
11.3,M Vohra,Imran Tahir,DA Miller,0,Not out
11.4,M Vohra,Imran Tahir,DA Miller,1,Not out
11.5,DA Miller,Imran Tahir,M Vohra,0,Not out
11.6,DA Miller,Imran Tahir,M Vohra,0,Not out
11.7,DA Miller,Imran Tahir,M Vohra,4,Not out
12.1,M Vohra,S Nadeem,DA Miller,0,Not out
12.2,M Vohra,S Nadeem,DA Miller,0,Not out
12.3,M Vohra,S Nadeem,DA Miller,3,Not out
12.4,DA Miller,S Nadeem,M Vohra,2,Not out
12.5,DA Miller,S Nadeem,M Vohra,4,Not out
12.6,DA Miller,S Nadeem,M Vohra,1,Not out
13.1,DA Miller,Imran Tahir,M Vohra,1,Not out
13.2,M Vohra,Imran Tahir,DA Miller,0,bowled
13.3,GJ Bailey,Imran Tahir,DA Miller,1,Not out
13.4,DA Miller,Imran Tahir,GJ Bailey,0,Not out
13.5,DA Miller,Imran Tahir,GJ Bailey,6,Not out
