,Balls,Dismissals,Runs,SR
DR Smith,1803.0,79.0,2385.0,132.28
SR Tendulkar,2044.0,63.0,2334.0,114.19
KA Pollard,1674.0,79.0,2354.0,140.62
Yuvraj Singh,2022.0,95.0,2548.0,126.01
BB McCullum,2177.0,93.0,2749.0,126.27
YK Pathan,2054.0,86.0,2880.0,140.21
SE Marsh,1913.0,59.0,2489.0,130.11
AC Gilchrist,1555.0,74.0,2069.0,133.05
MK Pandey,1901.0,73.0,2223.0,116.94
JH Kallis,2291.0,80.0,2427.0,105.94
AM Rahane,2488.0,82.0,2911.0,117.0
V Sehwag,1810.0,91.0,2703.0,149.34
SR Watson,1887.0,77.0,2550.0,135.14
PA Patel,2060.0,97.0,2322.0,112.72
AT Rayudu,1964.0,80.0,2416.0,123.01
DPMD Jayawardene,1486.0,55.0,1777.0,119.58
JP Duminy,1634.0,45.0,1993.0,121.97
KD Karthik,2332.0,107.0,2874.0,123.24
R Dravid,1918.0,71.0,2174.0,113.35
M Vijay,2092.0,83.0,2511.0,120.03
MEK Hussey,1648.0,47.0,1977.0,119.96
