,Balls,Dismissals,Runs,SR
V Kohli,3445.0,110.0,4376.0,127.02
G Gambhir,3433.0,116.0,4132.0,120.36
RV Uthappa,2960.0,121.0,3778.0,127.64
DA Warner,2878.0,92.0,3980.0,138.29
AB de Villiers,2355.0,82.0,3429.0,145.61
RG Sharma,3274.0,120.0,4207.0,128.5
SK Raina,3366.0,121.0,4547.0,135.09
S Dhawan,3005.0,95.0,3561.0,118.5
CH Gayle,2526.0,86.0,3640.0,144.1
MS Dhoni,2680.0,87.0,3560.0,132.84
