,Balls,Dismissals,Runs,SR
A Ashish Reddy,196.0,13.0,280.0,142.86
NLTC Perera,326.0,21.0,424.0,130.06
SM Pollock,116.0,8.0,147.0,126.72
R Tewatia,24.0,2.0,35.0,145.83
Gurkeerat Singh,280.0,19.0,342.0,122.14
P Sahu,13.0,0.0,19.0,146.15
DJG Sammy,251.0,14.0,295.0,117.53
Rashid Khan,9.0,2.0,11.0,122.22
S Vidyut,115.0,8.0,145.0,126.09
SP Narine,193.0,17.0,271.0,140.41
T Taibu,26.0,2.0,31.0,119.23
S Sohal,311.0,17.0,368.0,118.33
VRV Singh,3.0,1.0,4.0,133.33
KS Williamson,325.0,12.0,411.0,126.46
MS Gony,76.0,8.0,99.0,130.26
OA Shah,405.0,10.0,506.0,124.94
S Narwal,29.0,3.0,37.0,127.59
R Bhatia,290.0,25.0,342.0,117.93
JJ Roy,41.0,2.0,59.0,143.9
PD Collingwood,159.0,3.0,203.0,127.67
BA Stokes,227.0,10.0,316.0,139.21
JP Faulkner,372.0,23.0,503.0,135.22
MN van Wyk,135.0,3.0,167.0,123.7
PC Valthaty,425.0,20.0,500.0,117.65
N Rana,355.0,14.0,437.0,123.1
A Mithun,26.0,5.0,34.0,130.77
MJ Guptill,143.0,9.0,189.0,132.17
DAJ Bracewell,9.0,0.0,12.0,133.33
HH Pandya,306.0,18.0,406.0,132.68
SA Asnodkar,352.0,14.0,423.0,120.17
Shakib Al Hasan,401.0,21.0,500.0,124.69
RS Bopara,460.0,16.0,530.0,115.22
JC Buttler,375.0,20.0,528.0,140.8
CA Lynn,260.0,9.0,384.0,147.69
K Upadhyay,9.0,0.0,12.0,133.33
J Suchith,33.0,1.0,48.0,145.45
JR Hopes,314.0,15.0,417.0,132.8
DT Christian,351.0,22.0,420.0,119.66
TR Birt,59.0,5.0,75.0,127.12
B Lee,102.0,7.0,124.0,121.57
SA Yadav,479.0,27.0,608.0,126.93
MV Boucher,318.0,13.0,394.0,123.9
Ishan Kishan,217.0,11.0,271.0,124.88
Ankit Sharma,69.0,7.0,87.0,126.09
Sachin Baby,106.0,7.0,137.0,129.25
PJ Cummins,56.0,6.0,77.0,137.5
AP Tare,285.0,22.0,339.0,118.95
V Shankar,77.0,2.0,101.0,131.17
Joginder Sharma,30.0,3.0,36.0,120.0
B Akhil,57.0,5.0,76.0,133.33
Azhar Mahmood,311.0,16.0,388.0,124.76
Sunny Singh,31.0,3.0,43.0,138.71
SM Katich,191.0,8.0,241.0,126.18
AC Voges,143.0,4.0,181.0,126.57
AC Blizzard,91.0,7.0,120.0,131.87
RN ten Doeschate,238.0,12.0,326.0,136.97
MF Maharoof,124.0,8.0,177.0,142.74
D Salunkhe,24.0,1.0,33.0,137.5
RR Pant,381.0,18.0,564.0,148.03
AN Ahmed,27.0,1.0,36.0,133.33
A Choudhary,20.0,1.0,25.0,125.0
UT Khawaja,105.0,4.0,127.0,120.95
DM Bravo,5.0,0.0,6.0,120.0
HM Amla,418.0,12.0,577.0,138.04
AR Patel,494.0,26.0,606.0,122.67
MP Stoinis,136.0,7.0,163.0,119.85
MJ McClenaghan,45.0,6.0,63.0,140.0
D Wiese,85.0,3.0,116.0,136.47
MJ Lumb,198.0,10.0,278.0,140.4
AS Yadav,40.0,5.0,49.0,122.5
AB McDonald,103.0,5.0,123.0,119.42
BJ Rohrer,132.0,6.0,179.0,135.61
SP Jackson,31.0,2.0,38.0,122.58
JO Holder,32.0,3.0,38.0,118.75
M Morkel,93.0,10.0,126.0,135.48
DH Yagnik,142.0,9.0,170.0,119.72
LA Pomersbach,251.0,10.0,302.0,120.32
P Negi,284.0,17.0,353.0,124.3
CJ Anderson,414.0,16.0,521.0,125.85
DJ Hooda,268.0,20.0,354.0,132.09
TM Head,151.0,5.0,205.0,135.76
JD Ryder,466.0,26.0,604.0,129.61
RA Tripathi,275.0,11.0,391.0,142.18
C de Grandhomme,92.0,8.0,126.0,136.96
SW Billings,173.0,10.0,226.0,130.64
CRD Fernando,3.0,0.0,4.0,133.33
DNT Zoysa,9.0,1.0,11.0,122.22
Misbah-ul-Haq,82.0,7.0,117.0,142.68
DB Ravi Teja,325.0,18.0,375.0,115.38
