,Balls,Dismissals,Runs,SR
SK Trivedi,61.0,7.0,42.0,68.85
DJ Thornely,54.0,3.0,39.0,72.22
WA Mota,76.0,5.0,56.0,73.68
GH Vihari,323.0,17.0,280.0,86.69
M Muralitharan,30.0,4.0,20.0,66.67
Karanveer Singh,17.0,1.0,12.0,70.59
Sandeep Sharma,36.0,1.0,26.0,72.22
CK Kapugedera,24.0,3.0,16.0,66.67
R Sharma,77.0,10.0,66.0,85.71
S Chanderpaul,33.0,3.0,25.0,75.76
AD Nath,28.0,4.0,20.0,71.43
C Madan,21.0,1.0,15.0,71.43
A Chopra,75.0,4.0,53.0,70.67
IR Jaggi,100.0,5.0,76.0,76.0
A Mukund,23.0,2.0,19.0,82.61
Mohammad Hafeez,84.0,7.0,64.0,76.19
A Kumble,49.0,2.0,35.0,71.43
VR Aaron,56.0,2.0,46.0,82.14
L Balaji,50.0,6.0,36.0,72.0
Imran Tahir,25.0,3.0,18.0,72.0
S Kaul,13.0,0.0,9.0,69.23
NS Naik,33.0,2.0,23.0,69.7
AA Noffke,12.0,0.0,9.0,75.0
BA Bhatt,7.0,0.0,6.0,85.71
Vishnu Vinod,26.0,2.0,19.0,73.08
I Sharma,59.0,5.0,45.0,76.27
Washington Sundar,12.0,0.0,9.0,75.0
Jaskaran Singh,11.0,1.0,8.0,72.73
CK Langeveldt,9.0,2.0,8.0,88.89
Yashpal Singh,67.0,4.0,47.0,70.15
T Henderson,16.0,1.0,11.0,68.75
JE Taylor,4.0,0.0,3.0,75.0
R Shukla,23.0,1.0,19.0,82.61
Anureet Singh,43.0,4.0,33.0,76.74
AA Bilakhia,88.0,5.0,69.0,78.41
SM Harwood,14.0,0.0,9.0,64.29
BMAJ Mendis,27.0,2.0,23.0,85.19
SL Malinga,103.0,10.0,88.0,85.44
PJ Sangwan,36.0,5.0,24.0,66.67
Z Khan,141.0,12.0,117.0,82.98
SB Wagh,3.0,1.0,2.0,66.67
M Rawat,70.0,5.0,55.0,78.57
TA Boult,8.0,0.0,5.0,62.5
AG Paunikar,61.0,5.0,49.0,80.33
AG Murtaza,14.0,1.0,10.0,71.43
K Rabada,68.0,3.0,55.0,80.88
CJ Ferguson,119.0,5.0,98.0,82.35
WD Parnell,80.0,6.0,63.0,78.75
D du Preez,13.0,1.0,10.0,76.92
SB Bangar,58.0,5.0,49.0,84.48
SW Tait,26.0,3.0,23.0,88.46
T Thushara,19.0,1.0,12.0,63.16
Mohammad Nabi,3.0,1.0,2.0,66.67
SN Thakur,9.0,3.0,7.0,77.78
A Zampa,8.0,2.0,5.0,62.5
S Tyagi,4.0,0.0,3.0,75.0
S Sriram,38.0,2.0,31.0,81.58
TM Srivastava,11.0,1.0,8.0,72.73
RT Ponting,129.0,8.0,91.0,70.54
FH Edwards,5.0,1.0,4.0,80.0
A Nehra,63.0,6.0,41.0,65.08
MS Wade,13.0,2.0,11.0,84.62
RP Singh,78.0,11.0,52.0,66.67
Parvez Rasool,20.0,2.0,17.0,85.0
GD McGrath,5.0,1.0,4.0,80.0
Harpreet Singh,26.0,2.0,20.0,76.92
TS Mills,11.0,3.0,8.0,72.73
SS Shaikh,7.0,0.0,6.0,85.71
DR Martyn,26.0,1.0,19.0,73.08
AN Ghosh,8.0,2.0,7.0,87.5
KC Cariappa,18.0,3.0,15.0,83.33
