,Balls,Dismissals,Runs,SR
GB Hogg,22.0,2.0,22.0,100.0
DT Patil,13.0,1.0,13.0,100.0
NL McCullum,23.0,1.0,26.0,113.04
MD Mishra,213.0,14.0,237.0,111.27
JEC Franklin,309.0,11.0,327.0,105.83
A Flintoff,57.0,2.0,62.0,108.77
AL Menaria,367.0,20.0,401.0,109.26
R Bishnoi,17.0,2.0,19.0,111.76
BR Dunk,36.0,3.0,40.0,111.11
Y Gnaneswara Rao,18.0,1.0,19.0,105.56
AA Jhunjhunwala,218.0,10.0,217.0,99.54
KV Sharma,285.0,18.0,317.0,111.23
MM Sharma,104.0,12.0,112.0,107.69
LA Carseldine,71.0,2.0,81.0,114.08
R Sathish,236.0,14.0,270.0,114.41
Salman Butt,172.0,7.0,193.0,112.21
KB Arun Karthik,51.0,3.0,51.0,100.0
FY Fazal,179.0,6.0,183.0,102.23
R Vinay Kumar,281.0,23.0,297.0,105.69
J Botha,364.0,18.0,409.0,112.36
B Kumar,160.0,17.0,158.0,98.75
DS Kulkarni,101.0,5.0,90.0,89.11
MA Starc,98.0,5.0,96.0,97.96
KAJ Roach,9.0,1.0,10.0,111.11
Niraj Patel,124.0,4.0,121.0,97.58
LR Shukla,358.0,25.0,405.0,113.13
LH Ferguson,1.0,0.0,1.0,100.0
M Kaif,241.0,15.0,245.0,101.66
DB Das,267.0,12.0,304.0,113.86
L Ronchi,37.0,2.0,34.0,91.89
B Sumanth,38.0,1.0,35.0,92.11
DJ Jacobs,101.0,7.0,92.0,91.09
J Syed Mohammad,27.0,2.0,29.0,107.41
SD Chitnis,92.0,6.0,99.0,107.61
GR Napier,16.0,1.0,15.0,93.75
R Rampaul,52.0,5.0,51.0,98.08
DP Vijaykumar,1.0,0.0,1.0,100.0
PR Shah,97.0,8.0,92.0,94.85
RR Rossouw,51.0,5.0,53.0,103.92
RE van der Merwe,144.0,10.0,159.0,110.42
SP Fleming,171.0,8.0,196.0,114.62
BB Sran,4.0,0.0,4.0,100.0
W Jaffer,129.0,7.0,130.0,100.78
F Behardien,13.0,2.0,14.0,107.69
S Anirudha,121.0,8.0,136.0,112.4
P Kumar,323.0,28.0,340.0,105.26
M Manhas,486.0,21.0,514.0,105.76
RV Gomez,53.0,5.0,50.0,94.34
RG More,2.0,0.0,2.0,100.0
CA Pujara,403.0,17.0,390.0,96.77
UT Yadav,95.0,7.0,94.0,98.95
S Aravind,59.0,3.0,59.0,100.0
JJ Bumrah,27.0,1.0,25.0,92.59
MC Juneja,116.0,5.0,108.0,93.1
Sohail Tanvir,31.0,3.0,36.0,116.13
NJ Rimmington,1.0,0.0,1.0,100.0
CM Gautam,158.0,9.0,169.0,106.96
CR Woakes,47.0,3.0,46.0,97.87
Mohammed Shami,46.0,7.0,46.0,100.0
R McLaren,178.0,6.0,159.0,89.33
Basil Thampi,26.0,0.0,26.0,100.0
VS Malik,7.0,1.0,7.0,100.0
PA Reddy,167.0,9.0,164.0,98.2
