,Balls,Dismissals,Runs,SR
J Yadav,12.0,0.0,6.0,50.0
M Ntini,19.0,1.0,11.0,57.89
Pankaj Singh,12.0,2.0,7.0,58.33
JD Unadkat,12.0,1.0,4.0,33.33
H Das,5.0,0.0,2.0,40.0
S Badree,25.0,5.0,13.0,52.0
B Laughlin,9.0,1.0,4.0,44.44
SMSM Senanayake,17.0,0.0,10.0,58.82
Mohammad Asif,6.0,1.0,3.0,50.0
P Awana,14.0,2.0,5.0,35.71
VY Mahesh,28.0,2.0,15.0,53.57
P Parameswaran,3.0,0.0,1.0,33.33
TD Paine,29.0,2.0,10.0,34.48
A Chandila,7.0,0.0,4.0,57.14
Younis Khan,7.0,1.0,3.0,42.86
S Randiv,4.0,1.0,2.0,50.0
SB Joshi,16.0,1.0,6.0,37.5
AF Milne,12.0,2.0,7.0,58.33
PSP Handscomb,12.0,1.0,6.0,50.0
BAW Mendis,6.0,2.0,3.0,50.0
R Ninan,6.0,1.0,3.0,50.0
PV Tambe,39.0,1.0,18.0,46.15
S Nadeem,71.0,10.0,26.0,36.62
Kamran Khan,5.0,1.0,3.0,60.0
AB Dinda,50.0,8.0,26.0,52.0
D Kalyankrishna,8.0,1.0,3.0,37.5
SE Bond,2.0,1.0,1.0,50.0
KP Appanna,4.0,0.0,2.0,50.0
DJ Muthuswami,3.0,0.0,1.0,33.33
S Sreesanth,57.0,3.0,34.0,59.65
YS Chahal,29.0,1.0,15.0,51.72
PM Sarvesh Kumar,2.0,0.0,1.0,50.0
DP Nannes,13.0,1.0,4.0,30.77
BE Hendricks,3.0,1.0,1.0,33.33
X Thalaivan Sargunam,17.0,1.0,10.0,58.82
S Gopal,27.0,1.0,14.0,51.85
CA Ingram,14.0,2.0,8.0,57.14
AS Rajpoot,13.0,1.0,6.0,46.15
CJ McKay,15.0,1.0,8.0,53.33
A Uniyal,7.0,1.0,4.0,57.14
T Kohli,20.0,2.0,11.0,55.0
PP Ojha,45.0,8.0,16.0,35.56
Swapnil Singh,20.0,3.0,12.0,60.0
M de Lange,2.0,1.0,1.0,50.0
UA Birla,15.0,1.0,7.0,46.67
CJ Jordan,5.0,1.0,3.0,60.0
