,Balls,Dismissals,Runs,SR
I Malhotra,4.0,0.0,7.0,175.0
RD Chahar,2.0,0.0,3.0,150.0
AD Russell,350.0,19.0,574.0,164.0
Shahid Afridi,46.0,8.0,81.0,176.09
ER Dwivedi,15.0,2.0,24.0,160.0
TG Southee,36.0,3.0,54.0,150.0
RS Sodhi,2.0,0.0,4.0,200.0
KK Cooper,70.0,9.0,116.0,165.71
KJ Abbott,8.0,1.0,13.0,162.5
AP Dole,23.0,2.0,34.0,147.83
LJ Wright,63.0,4.0,106.0,168.25
Bipul Sharma,124.0,5.0,187.0,150.81
CH Morris,275.0,10.0,439.0,159.64
DL Chahar,6.0,1.0,14.0,233.33
LPC Silva,27.0,2.0,40.0,148.15
KH Pandya,313.0,12.0,480.0,153.35
SN Khan,81.0,5.0,132.0,162.96
Harmeet Singh,12.0,2.0,18.0,150.0
BJ Haddin,11.0,1.0,18.0,163.64
AJ Tye,18.0,1.0,28.0,155.56
AUK Pathan,26.0,5.0,39.0,150.0
Shivam Sharma,3.0,1.0,5.0,166.67
BCJ Cutting,70.0,4.0,124.0,177.14
Kamran Akmal,78.0,3.0,128.0,164.1
KMDN Kulasekara,3.0,0.0,5.0,166.67
CR Brathwaite,56.0,8.0,95.0,169.64
Umar Gul,19.0,2.0,39.0,205.26
