,Average,No_of_matches,Runs
MA Agarwal,18,12,225
CH Gayle,52,14,733
V Kohli,24,15,364
AB de Villiers,24,13,319
SS Tiwary,17,11,191
M Kaif,14,1,14
DL Vettori,5,6,31
R Vinay Kumar,9,7,68
Z Khan,3,4,12
S Aravind,14,1,14
M Muralitharan,3,2,6
MK Pandey,15,9,143
SC Ganguly,17,15,268
MJ Clarke,16,6,98
SPD Smith,25,14,362
RV Uthappa,25,16,405
M Manhas,17,7,120
MN Samuels,15,8,124
DJ Harris,27,4,111
S Dhawan,37,15,569
CL White,36,13,479
KC Sangakkara,16,12,200
HH Gibbs,27,3,81
SR Tendulkar,24,13,324
KD Karthik,17,14,238
RG Sharma,27,16,433
AT Rayudu,22,15,333
KA Pollard,20,11,220
DR Smith,26,6,157
Harbhajan Singh,9,11,108
SL Malinga,9,6,55
RP Singh,1,5,6
Mandeep Singh,27,16,432
SE Marsh,25,13,336
N Saini,14,10,140
DJ Hussey,26,15,396
Azhar Mahmood,18,10,186
DA Miller,16,6,98
SD Chitnis,16,4,66
R Dravid,28,16,462
AM Rahane,35,16,560
SR Watson,36,7,255
AL Menaria,18,12,220
OA Shah,26,13,340
SP Goswami,11,6,69
BJ Hodge,20,12,245
J Botha,8,7,58
PP Chawla,8,12,106
Gurkeerat Singh,21,4,86
JEC Franklin,20,11,220
RJ Peterson,6,5,32
NLTC Perera,2,2,4
PP Ojha,1,3,4
TM Dilshan,31,9,285
HV Patel,5,3,15
P Parameswaran,0,1,0
MEK Hussey,32,8,261
M Vijay,25,13,336
SK Raina,24,18,441
PA Patel,16,12,194
JP Duminy,27,9,244
BB Samantray,2,1,2
MS Dhoni,21,17,357
AB McDonald,15,3,47
AUK Pathan,3,2,6
AC Gilchrist,24,7,172
PC Valthaty,5,6,30
P Dogra,5,3,15
AD Mascarenhas,4,3,14
P Kumar,5,7,35
P Awana,4,1,4
F du Plessis,33,12,398
S Badrinath,21,9,196
DJ Bravo,23,16,371
RA Jadeja,13,14,191
JD Ryder,23,11,256
CJ Ferguson,12,4,50
R Sharma,0,4,2
JA Morkel,8,12,107
AA Chavan,5,2,11
STR Binny,15,6,90
KK Cooper,9,4,38
GB Hogg,7,2,15
AC Blizzard,0,1,0
MS Bisla,30,7,213
G Gambhir,34,17,590
JH Kallis,24,17,409
MK Tiwary,17,15,260
YK Pathan,12,16,194
DB Das,12,10,126
R Ashwin,3,5,18
NV Ojha,15,16,255
V Sehwag,30,16,495
KP Pietersen,38,8,305
DPMD Jayawardene,22,15,335
RE Levi,13,6,83
BB McCullum,24,12,289
LRPL Taylor,16,12,197
IK Pathan,14,12,176
Y Nagar,19,8,153
AD Mathews,15,8,127
WD Parnell,3,5,19
B Kumar,5,8,40
AA Jhunjhunwala,8,3,24
PA Reddy,24,3,73
A Ashish Reddy,7,5,35
J Theron,7,1,7
A Mishra,3,5,16
LR Shukla,10,7,75
R Bhatia,5,6,35
AM Nayar,11,4,45
RJ Harris,9,2,18
A Chandila,0,1,0
A Singh,0,1,0
SK Trivedi,5,1,5
AP Majumdar,21,4,87
DJ Jacobs,0,1,0
CJ McKay,8,1,8
MM Patel,1,2,2
S Anirudha,9,2,19
DT Christian,20,7,145
RN ten Doeschate,7,3,21
Shakib Al Hasan,13,7,91
B Lee,14,3,42
Bipul Sharma,18,4,72
JP Faulkner,7,2,14
Harmeet Singh,7,2,15
DA Warner,32,8,256
Y Venugopal Rao,18,7,132
J Syed Mohammad,4,1,4
CA Lynn,6,1,6
IR Jaggi,5,3,15
P Negi,9,4,36
M Morkel,1,3,3
SB Jakati,3,2,7
DE Bollinger,3,1,3
M Kartik,8,3,26
WP Saha,6,1,6
KMDN Kulasekara,5,1,5
UBT Chand,18,2,36
AD Russell,23,2,47
UT Yadav,0,3,2
Sunny Gupta,0,1,0
VR Aaron,0,2,1
MD Mishra,4,1,4
AC Thomas,9,2,19
K Upadhyay,11,1,11
TL Suman,7,2,15
SP Narine,4,2,9
SA Yadav,0,1,0
Harpreet Singh,6,1,6
AG Murtaza,3,1,3
B Chipli,9,4,37
MS Gony,4,1,4
DB Ravi Teja,2,2,4
DW Steyn,3,5,19
Ankit Sharma,4,4,18
DH Yagnik,8,3,25
CA Pujara,5,3,17
RR Bhatkal,0,1,0
AJ Finch,27,2,55
GJ Maxwell,3,2,6
DAJ Bracewell,12,1,12
Iqbal Abdulla,1,2,2
S Nadeem,0,1,0
V Pratap Singh,0,1,0
A Nehra,5,2,11
AB Dinda,2,1,2
BA Bhatt,6,1,6
DS Kulkarni,10,1,10
