,Average,No_of_matches,Runs
DR Smith,27,12,324
BB McCullum,22,16,354
SK Raina,26,15,399
KD Karthik,22,15,335
RA Jadeja,12,15,191
DJ Bravo,8,12,99
Ishan Kishan,8,5,42
JP Faulkner,15,5,77
P Kumar,4,6,24
DS Kulkarni,5,5,27
Q de Kock,34,13,445
SS Iyer,5,6,30
KK Nair,29,12,357
SV Samson,20,14,291
RR Pant,19,10,198
JP Duminy,23,8,191
CH Morris,27,7,195
NM Coulter-Nile,4,2,9
RG Sharma,34,14,489
HH Pandya,4,9,44
PA Patel,17,10,177
JC Buttler,18,14,255
KA Pollard,17,12,208
AT Rayudu,27,12,334
Harbhajan Singh,13,7,92
KH Pandya,29,8,237
TG Southee,7,4,30
MA Agarwal,9,3,27
P Negi,9,6,57
CR Brathwaite,13,6,83
A Mishra,2,2,4
Z Khan,3,2,6
CH Gayle,22,10,227
V Kohli,60,16,973
AB de Villiers,42,16,687
SR Watson,11,15,179
KM Jadhav,14,3,42
SN Khan,16,4,66
M Vijay,32,14,453
HM Amla,26,6,157
WP Saha,22,12,270
GJ Maxwell,17,10,179
Gurkeerat Singh,18,6,113
AJ Finch,32,12,393
RV Uthappa,26,15,394
MK Pandey,22,11,248
G Gambhir,33,15,501
YK Pathan,27,13,361
AM Rahane,34,14,480
F du Plessis,34,6,206
KP Pietersen,18,4,73
SPD Smith,38,7,270
MS Dhoni,23,12,284
NLTC Perera,15,10,150
R Bhatia,6,5,34
R Ashwin,6,6,41
Ankit Sharma,3,1,3
M Ashwin,0,1,0
M Vohra,23,7,161
SE Marsh,26,6,159
DA Miller,12,13,161
AR Patel,11,10,111
MG Johnson,2,2,5
MM Sharma,6,5,32
P Sahu,9,2,19
Sandeep Sharma,2,4,8
SS Tiwary,24,7,170
KL Rahul,33,12,397
Sachin Baby,19,6,119
Parvez Rasool,10,1,10
Shakib Al Hasan,16,7,114
SA Yadav,16,11,182
AD Russell,23,8,188
CA Lynn,12,2,25
MJ McClenaghan,8,4,34
JJ Bumrah,4,2,8
DA Warner,49,17,848
AP Tare,4,2,8
S Dhawan,29,17,501
EJG Morgan,20,6,123
DJ Hooda,9,15,144
MC Henriques,12,15,182
NV Ojha,10,13,136
Bipul Sharma,12,4,51
B Kumar,5,8,43
STR Binny,12,5,63
UT Khawaja,21,6,127
GJ Bailey,16,5,84
IK Pathan,3,3,11
AD Nath,6,3,20
DW Steyn,1,1,1
TM Head,18,3,54
MJ Guptill,19,3,57
R Sathish,8,3,24
PP Chawla,9,3,27
UT Yadav,4,2,9
S Nadeem,1,1,1
Imran Tahir,5,1,5
KS Williamson,20,6,124
A Ashish Reddy,15,3,47
Yuvraj Singh,23,10,236
BB Sran,1,3,4
A Nehra,1,1,1
KV Sharma,12,3,36
MP Stoinis,29,5,146
KC Cariappa,6,2,13
SW Billings,22,4,88
J Yadav,3,2,6
Mohammed Shami,1,2,2
C Munro,10,3,30
JO Holder,5,4,22
N Rana,34,3,104
Swapnil Singh,0,1,0
NS Naik,11,2,23
PSP Handscomb,6,1,6
ER Dwivedi,12,2,24
LMP Simmons,8,1,8
S Gopal,2,1,2
R Vinay Kumar,6,2,13
Iqbal Abdulla,18,2,37
KJ Abbott,4,3,13
A Zampa,0,1,0
CJ Jordan,3,1,3
JA Morkel,16,1,16
D Wiese,5,1,5
F Behardien,4,3,14
R Dhawan,7,2,14
SP Narine,2,3,7
UBT Chand,0,1,0
BCJ Cutting,16,4,65
KW Richardson,1,1,1
M Morkel,1,1,1
MR Marsh,7,1,7
SB Jakati,1,1,1
PV Tambe,7,1,7
S Kaushik,0,1,0
