,Average,No_of_matches,Runs
G Gambhir,20,16,335
MS Bisla,3,1,3
JH Kallis,21,7,151
MK Pandey,25,16,409
SA Yadav,16,10,164
Shakib Al Hasan,20,11,229
RV Uthappa,41,16,660
R Vinay Kumar,2,2,4
PP Chawla,6,5,31
SP Narine,2,4,10
SR Watson,16,13,213
SPD Smith,19,7,133
AM Nayar,10,4,43
AM Rahane,24,11,267
SV Samson,26,12,319
STR Binny,12,10,123
R Bhatia,9,7,67
JP Faulkner,16,11,179
TG Southee,4,1,4
DS Kulkarni,17,2,35
PV Tambe,2,2,5
Ankit Sharma,17,2,34
KK Nair,32,10,329
DH Yagnik,4,1,4
CA Lynn,29,2,58
YK Pathan,22,12,268
RN ten Doeschate,8,6,52
S Dhawan,26,14,377
DA Warner,37,14,528
NV Ojha,23,10,232
AJ Finch,23,13,309
DJG Sammy,12,9,108
R Tewatia,16,1,16
BJ Hodge,25,4,101
KK Cooper,13,3,39
VS Malik,1,1,1
AD Russell,1,2,2
LMP Simmons,49,8,394
CM Gautam,13,9,121
AT Rayudu,25,14,361
RG Sharma,26,15,390
KA Pollard,18,15,273
DR Smith,35,16,566
BB McCullum,28,14,405
SK Raina,32,16,523
MS Dhoni,24,15,371
RA Jadeja,14,10,146
F du Plessis,25,12,303
M Manhas,7,5,35
R Ashwin,9,5,45
M Vijay,18,11,207
KP Pietersen,26,11,294
KD Karthik,23,14,325
JP Duminy,29,14,410
KM Jadhav,14,10,149
MA Agarwal,14,8,115
MK Tiwary,19,8,152
WD Parnell,2,1,2
Mohammed Shami,0,4,3
KL Rahul,20,8,166
Y Venugopal Rao,14,5,71
KV Sharma,5,8,42
V Sehwag,26,17,455
M Vohra,40,8,324
GJ Maxwell,34,16,552
DA Miller,27,16,446
WP Saha,27,13,362
AR Patel,8,7,62
GJ Bailey,16,16,257
R Dhawan,13,6,82
DJ Hussey,29,4,116
BR Dunk,13,3,40
CJ Anderson,24,11,265
AP Tare,11,11,126
MEK Hussey,23,9,209
UBT Chand,2,1,2
LRPL Taylor,14,4,59
JDS Neesham,14,3,42
S Nadeem,2,3,7
JD Unadkat,0,2,1
BCJ Cutting,8,1,8
CH Gayle,21,9,196
PA Patel,17,12,205
V Kohli,25,14,359
AB de Villiers,30,13,395
Yuvraj Singh,26,14,376
S Rana,10,7,73
AN Ahmed,4,1,4
DJ Bravo,8,1,8
RR Rossouw,13,3,39
YV Takawale,20,5,104
VH Zol,14,2,29
MA Starc,10,8,85
JA Morkel,9,5,45
MC Henriques,4,2,9
IK Pathan,9,6,55
Q de Kock,21,7,153
LR Shukla,10,3,31
R Shukla,6,3,18
Harbhajan Singh,4,7,28
Z Khan,2,3,8
SL Malinga,2,1,2
PP Ojha,1,3,4
JJ Bumrah,0,2,1
SE Marsh,35,2,70
CA Pujara,20,6,125
MG Johnson,7,8,56
DW Steyn,7,3,22
BE Hendricks,0,1,0
Shivam Sharma,2,2,5
A Mishra,2,2,4
B Kumar,0,2,1
Mandeep Singh,8,3,24
HV Patel,4,3,13
VR Aaron,11,3,35
YS Chahal,1,1,1
R Rampaul,13,1,13
AB Dinda,1,3,4
Imran Tahir,4,2,8
S Kaul,2,1,2
Karanveer Singh,1,1,1
P Kumar,1,1,1
L Balaji,0,2,1
Sandeep Sharma,2,1,2
MM Sharma,1,1,1
NJ Maddinson,8,2,16
KW Richardson,1,1,1
UT Yadav,2,1,2
M Morkel,4,1,4
S Gopal,11,1,11
M de Lange,1,1,1
S Anirudha,3,1,3
JO Holder,16,1,16
