,Average,No_of_matches,Runs
LMP Simmons,41,13,540
PA Patel,24,14,339
RG Sharma,30,16,482
KA Pollard,29,14,419
AT Rayudu,20,14,281
RV Uthappa,28,13,364
G Gambhir,25,13,327
MK Pandey,18,12,225
AD Russell,29,11,326
YK Pathan,26,12,312
SA Yadav,12,13,157
DR Smith,24,16,399
BB McCullum,31,14,436
SK Raina,22,17,374
F du Plessis,25,15,380
MS Dhoni,21,17,372
DJ Bravo,15,13,195
RA Jadeja,12,11,132
R Ashwin,8,6,52
CH Gayle,37,13,481
V Kohli,33,15,504
KD Karthik,11,10,114
AB de Villiers,35,13,456
Mandeep Singh,18,7,130
DJG Sammy,6,2,13
SA Abbott,7,2,15
HV Patel,2,5,13
AN Ahmed,3,3,10
VR Aaron,6,1,6
YS Chahal,1,1,1
S Dhawan,25,14,353
DA Warner,40,14,562
EJG Morgan,20,9,187
MC Henriques,31,9,287
KV Sharma,11,9,104
RS Bopara,18,8,145
SN Khan,11,6,66
D Wiese,18,6,111
M Vijay,22,11,251
M Vohra,11,7,82
WP Saha,19,13,249
GJ Maxwell,13,11,146
DA Miller,27,13,357
Gurkeerat Singh,7,5,35
AM Rahane,38,12,466
SR Watson,33,9,302
KK Nair,14,11,156
SPD Smith,24,12,298
DJ Hooda,16,8,132
SV Samson,19,10,199
STR Binny,8,7,62
JP Faulkner,13,11,143
CH Morris,10,7,76
DS Kulkarni,2,2,4
PV Tambe,1,2,3
UBT Chand,20,5,102
HH Pandya,14,8,112
MJ McClenaghan,4,3,13
SL Malinga,6,1,6
Harbhajan Singh,13,9,117
V Sehwag,12,8,99
GJ Bailey,21,12,259
AR Patel,17,12,206
MG Johnson,3,8,31
PP Chawla,7,7,54
J Botha,10,3,31
GB Hogg,3,2,7
SP Narine,0,1,0
KL Rahul,17,8,142
NV Ojha,12,11,137
A Ashish Reddy,14,5,73
P Kumar,4,4,17
Shakib Al Hasan,12,3,36
Azhar Mahmood,6,1,6
UT Yadav,9,3,29
M Morkel,4,1,4
SE Marsh,23,4,93
KS Williamson,15,2,31
Parvez Rasool,2,1,2
AJ Finch,7,3,23
CJ Anderson,28,4,114
S Gopal,1,1,1
J Suchith,9,5,48
RN ten Doeschate,12,5,61
PJ Cummins,0,1,0
MM Sharma,5,5,28
MEK Hussey,19,4,77
P Negi,12,9,116
GH Vihari,9,4,39
Bipul Sharma,1,1,1
B Kumar,5,3,17
DW Steyn,6,3,20
Anureet Singh,3,6,18
Karanveer Singh,3,3,11
Sandeep Sharma,3,3,9
AP Tare,7,2,14
R Dhawan,9,4,36
MA Agarwal,21,10,213
JP Duminy,31,13,414
SS Iyer,31,14,439
KM Jadhav,15,12,189
Yuvraj Singh,19,13,248
AD Mathews,14,10,144
SS Tiwary,18,6,109
NM Coulter-Nile,4,5,20
NLTC Perera,6,2,12
A Mishra,2,4,8
BE Hendricks,1,1,1
TG Southee,6,2,13
J Theron,1,1,1
CM Gautam,4,1,4
JA Morkel,28,3,86
Imran Tahir,2,2,5
NJ Maddinson,4,1,4
MA Starc,3,3,11
Iqbal Abdulla,10,2,20
S Aravind,0,1,0
MK Tiwary,28,2,57
Q de Kock,40,3,122
R Vinay Kumar,0,2,0
S Nadeem,2,1,2
DJ Muthuswami,1,1,1
Ankit Sharma,3,2,7
A Nehra,0,4,1
R Bhatia,0,1,0
MS Bisla,18,2,37
RR Rossouw,7,2,14
RG More,2,1,2
SN Thakur,7,1,7
