,Average,No_of_matches,Runs
MJ Lumb,25,11,278
NV Ojha,26,14,377
FY Fazal,18,9,164
YK Pathan,23,14,333
AC Voges,25,7,181
P Dogra,13,8,107
HH Gibbs,26,10,267
AC Gilchrist,18,16,289
VVS Laxman,10,6,64
A Symonds,26,16,429
RG Sharma,25,16,404
MD Mishra,15,11,166
TL Suman,21,14,307
RJ Harris,9,5,45
R Sharma,7,4,29
Jaskaran Singh,2,4,8
PP Ojha,1,3,3
MK Pandey,19,13,249
JH Kallis,35,16,572
RV Uthappa,26,14,374
V Kohli,23,13,307
KP Pietersen,33,7,236
CL White,9,5,48
M Vijay,30,15,458
ML Hayden,21,16,346
MS Dhoni,26,11,287
SK Raina,33,16,528
MEK Hussey,12,3,37
JA Morkel,18,11,199
S Badrinath,23,15,356
R Ashwin,5,6,30
L Balaji,6,3,18
DE Bollinger,9,2,18
DA Warner,25,11,282
V Sehwag,25,14,356
G Gambhir,27,10,277
PD Collingwood,29,7,203
KM Jadhav,15,5,76
KD Karthik,19,14,278
AB McDonald,21,3,65
MS Bisla,23,9,211
DPMD Jayawardene,34,13,442
KC Sangakkara,31,11,342
Yuvraj Singh,15,14,216
IK Pathan,19,12,237
RS Bopara,30,8,247
PP Chawla,10,5,54
Bipul Sharma,4,2,9
GC Smith,22,2,44
AA Jhunjhunwala,18,10,183
AD Mascarenhas,6,2,12
A Uniyal,2,2,4
SK Warne,1,6,10
AP Tare,12,4,50
S Dhawan,19,10,191
SS Tiwary,27,15,419
JP Duminy,22,7,157
R Sathish,11,10,112
DJ Bravo,7,8,61
AT Rayudu,25,14,356
STR Binny,8,1,8
R McLaren,9,7,66
AB de Villiers,15,7,111
M Manhas,19,8,157
MC Henriques,11,1,11
Y Nagar,1,1,1
A Mishra,5,7,39
UT Yadav,3,1,3
S Ladda,0,2,0
DP Nannes,2,2,4
CH Gayle,32,9,292
SC Ganguly,35,14,493
Mandeep Singh,2,2,4
MK Tiwary,21,11,237
DJ Hussey,15,6,94
AD Mathews,23,10,233
WP Saha,11,6,67
AB Agarkar,10,4,40
M Kartik,11,2,22
CK Langeveldt,0,1,0
TM Dilshan,7,6,44
MF Maharoof,7,4,31
PJ Sangwan,5,2,10
AB Barath,14,3,42
RS Sodhi,4,1,4
ST Jayasuriya,8,4,33
SR Tendulkar,41,15,618
Harbhajan Singh,15,7,105
S Sreesanth,9,3,27
KA Pollard,19,14,273
AN Ahmed,4,1,4
BB McCullum,22,5,114
R Dravid,23,11,256
EJG Morgan,8,4,35
MV Boucher,6,2,13
BJ Hodge,24,4,99
CA Pujara,20,6,122
OA Shah,23,5,115
LRPL Taylor,12,7,88
R Vinay Kumar,5,5,27
A Mithun,5,1,5
KP Appanna,1,2,2
A Kumble,1,5,6
AM Nayar,19,3,58
Anirudh Singh,15,4,63
DR Smith,7,3,22
AA Bilakhia,2,1,2
RP Singh,1,5,9
Y Venugopal Rao,8,4,34
WPUJC Vaas,6,5,30
DW Steyn,3,4,13
S Anirudha,15,2,30
SA Asnodkar,5,1,5
MR Marsh,14,2,28
B Sumanth,8,4,35
PA Patel,18,4,72
SE Marsh,36,4,147
B Lee,3,3,11
K Goel,9,2,18
VS Malik,6,1,6
SJ Srivastava,0,2,1
DL Vettori,11,3,33
Z Khan,8,3,24
A Nehra,11,2,23
LR Shukla,18,2,36
Iqbal Abdulla,0,1,0
SR Watson,37,5,185
AJ Finch,21,1,21
AS Raut,11,5,56
SK Trivedi,5,4,20
DR Martyn,19,1,19
S Narwal,4,3,14
M Morkel,4,2,9
MM Patel,2,2,4
KAJ Roach,10,1,10
AP Dole,17,2,34
Pankaj Singh,1,1,1
R Bhatia,8,3,24
P Kumar,1,3,4
JM Kemp,13,2,26
SW Tait,6,2,12
C Madan,15,1,15
S Sriram,27,1,27
AG Paunikar,0,1,0
KB Arun Karthik,3,1,3
T Thushara,5,2,10
Harmeet Singh,0,1,0
MS Gony,2,1,2
SP Goswami,8,1,8
RE van der Merwe,1,1,1
M Muralitharan,1,1,1
S Tyagi,3,1,3
CRD Fernando,2,1,2
SL Malinga,1,1,1
RS Gavaskar,2,1,2
SE Bond,1,1,1
I Sharma,3,2,6
M Kaif,7,2,14
J Theron,2,1,2
RR Powar,3,1,3
YA Abdulla,0,1,0
GJ Bailey,18,1,18
AB Dinda,0,1,0
BAW Mendis,1,1,1
