,Average_wickets,No_of_matches,Wickets
RR Powar,0.625,8,5
IK Pathan,1.2142857142857142,14,17
YA Abdulla,1.5555555555555556,9,14
VS Malik,0.4,5,2
PP Chawla,0.8571428571428571,14,12
Yuvraj Singh,0.6666666666666666,9,6
BJ Hodge,0.7777777777777778,9,7
CK Langeveldt,3.0,1,3
AB Dinda,0.5,8,4
AB Agarkar,0.6,10,6
SS Sarkar,0.5,2,1
LR Shukla,0.6,5,3
RP Singh,1.4375,16,23
WPUJC Vaas,2.0,2,4
A Symonds,0.875,8,7
PP Ojha,1.2,15,18
DR Smith,0.125,8,1
RG Sharma,0.9166666666666666,12,11
SL Malinga,1.3846153846153846,13,18
DS Kulkarni,0.625,8,5
Harbhajan Singh,0.9230769230769232,13,12
DJ Bravo,1.0,11,11
RR Raje,0.25,4,1
ST Jayasuriya,0.7777777777777778,9,7
MM Patel,1.4545454545454546,11,16
A Singh,1.8,5,9
J Botha,1.0,3,3
SK Warne,1.0769230769230769,13,14
RA Jadeja,0.6,10,6
T Henderson,0.5,2,1
Z Khan,1.0,6,6
AM Nayar,1.0,4,4
SR Tendulkar,0.0,4,0
FH Edwards,0.8333333333333334,6,5
Y Venugopal Rao,0.6666666666666666,6,4
Shoaib Ahmed,0.7142857142857143,7,5
P Kumar,1.0,13,13
JH Kallis,0.42857142857142855,14,6
R Vinay Kumar,0.8181818181818182,11,9
A Kumble,1.3125,16,21
RE van der Merwe,0.9,10,9
I Sharma,0.9,10,9
MC Henriques,0.5,4,2
SC Ganguly,0.4,5,2
CH Gayle,0.16666666666666666,6,1
M Kartik,0.4,10,4
B Lee,1.0,5,5
S Sreesanth,0.8571428571428571,7,6
WA Mota,0.6,5,3
K Goel,0.0,4,0
M Morkel,0.0,2,0
YK Pathan,0.6363636363636364,11,7
SK Trivedi,0.8571428571428571,7,6
AS Raut,0.0,4,0
LA Carseldine,1.0,1,1
BAW Mendis,0.25,4,1
JD Ryder,0.6,5,3
KP Appanna,0.4,5,2
DW Steyn,0.6666666666666666,3,2
A Nehra,1.4615384615384617,13,19
AM Salvi,0.8,5,4
MF Maharoof,1.3333333333333333,3,4
AB McDonald,0.0,1,0
DL Vettori,1.0,7,7
Y Nagar,2.0,1,2
RS Bopara,0.0,2,0
VRV Singh,0.25,4,1
JA Morkel,1.0833333333333333,12,13
S Tyagi,0.625,8,5
M Muralitharan,1.0769230769230769,13,14
SB Jakati,1.625,8,13
SK Raina,0.7,10,7
L Balaji,1.0,13,13
AD Mascarenhas,1.2,5,6
Kamran Khan,1.4,5,7
RJ Harris,0.75,8,6
TL Suman,1.0,5,5
Harmeet Singh,0.42857142857142855,7,3
DP Nannes,1.1538461538461535,13,15
PJ Sangwan,1.1538461538461535,13,15
TM Dilshan,0.0,8,0
R Bhatia,1.4285714285714286,7,10
A Mishra,1.2727272727272727,11,14
RA Shaikh,0.0,1,0
JP Duminy,0.6666666666666666,6,4
KP Pietersen,1.0,4,4
V Kohli,0.0,3,0
LRPL Taylor,0.0,1,0
MS Gony,0.7142857142857143,7,5
A Flintoff,0.6666666666666666,3,2
Joginder Sharma,0.5,4,2
SB Styris,2.5,2,5
Pankaj Singh,0.6666666666666666,3,2
B Akhil,0.8,5,4
Mashrafe Mortaza,0.0,1,0
DJ Hussey,0.0,3,0
MK Tiwary,0.0,1,0
Anureet Singh,0.0,1,0
V Sehwag,0.0,1,0
C Nanda,0.6666666666666666,3,2
SM Harwood,1.0,3,3
JDP Oram,0.7142857142857143,7,5
D du Preez,2.0,2,4
T Thushara,1.5,2,3
R Ashwin,2.0,1,2
AD Mathews,0.0,1,0
GR Napier,1.0,1,1
VY Mahesh,1.0,1,1
AM Rahane,1.0,1,1
Jaskaran Singh,0.0,1,0
RR Bose,0.0,1,0
A Mithun,0.0,1,0
