,Average_wickets,No_of_matches,Wickets
STR Binny,0.375,8,3
KW Richardson,1.2857142857142858,7,9
JP Faulkner,0.8461538461538461,13,11
Iqbal Abdulla,0.0,1,0
SR Watson,0.7777777777777778,9,7
R Bhatia,1.0,12,12
PV Tambe,1.1538461538461535,13,15
SP Narine,1.3125,16,21
DS Kulkarni,0.75,8,6
TG Southee,0.0,3,0
Ankit Sharma,2.0,2,4
KK Cooper,0.8,5,4
UT Yadav,0.9166666666666666,12,11
M Morkel,1.0,11,11
R Vinay Kumar,0.625,8,5
JH Kallis,0.5714285714285714,7,4
Shakib Al Hasan,0.8333333333333334,12,10
RN ten Doeschate,0.25,4,1
PP Chawla,1.4,10,14
B Kumar,1.4285714285714286,14,20
DW Steyn,0.7857142857142857,14,11
Parvez Rasool,0.3333333333333333,3,1
KV Sharma,1.0714285714285714,14,15
Y Venugopal Rao,0.0,2,0
IK Pathan,0.4,10,4
DJG Sammy,0.375,8,3
VS Malik,1.0,1,1
R Tewatia,0.6666666666666666,3,2
AD Russell,0.5,2,1
CJ Anderson,0.4444444444444444,9,4
JJ Bumrah,0.4545454545454545,11,5
Harbhajan Singh,1.0,14,14
SL Malinga,1.6,10,16
PP Ojha,0.3333333333333333,12,4
KA Pollard,0.16666666666666666,12,2
BW Hilfenhaus,1.0,8,8
IC Pandey,0.5,12,6
MM Sharma,1.4375,16,23
R Ashwin,1.0,16,16
RA Jadeja,1.1875,16,19
SK Raina,0.125,8,1
DR Smith,0.8,5,4
WD Parnell,0.75,8,6
Mohammed Shami,0.5833333333333334,12,7
JD Unadkat,1.1111111111111112,9,10
Imran Tahir,1.5,6,9
JP Duminy,0.2727272727272727,11,3
I Sharma,1.0,3,3
A Mishra,0.7,10,7
Sandeep Sharma,1.6363636363636365,11,18
BE Hendricks,1.3333333333333333,3,4
AR Patel,1.0,17,17
R Dhawan,1.0,13,13
Shivam Sharma,0.75,4,3
JW Hastings,1.0,1,1
P Negi,0.0,2,0
Z Khan,0.8333333333333334,6,5
P Kumar,1.0,3,3
K Santokie,1.5,2,3
S Gopal,1.5,4,6
S Nadeem,0.7272727272727273,11,8
JDS Neesham,0.25,4,1
M Vijay,0.0,1,0
BCJ Cutting,1.0,1,1
M Muralitharan,0.6,5,3
MA Starc,1.0,14,14
VR Aaron,1.6,10,16
AN Ahmed,0.75,4,3
YS Chahal,0.8571428571428571,14,12
S Rana,0.0,2,0
MG Johnson,1.2142857142857142,14,17
L Balaji,1.3333333333333333,9,12
P Awana,1.0,7,7
Karanveer Singh,2.2,5,11
A Nehra,2.0,4,8
SB Jakati,0.0,1,0
R Rampaul,0.5,2,1
Yuvraj Singh,0.5,10,5
JA Morkel,0.6666666666666666,6,4
AB Dinda,0.5555555555555556,9,5
MC Henriques,1.0,4,4
S Kaul,0.4,5,2
R Shukla,0.6666666666666666,3,2
LR Shukla,0.2,5,1
S Badree,0.5,4,2
GJ Maxwell,0.14285714285714285,7,1
DJ Hussey,2.0,1,2
M Kartik,0.5,2,1
SA Yadav,0.0,1,0
V Shankar,0.0,1,0
LMP Simmons,1.0,1,1
HV Patel,1.3333333333333333,3,4
PJ Cummins,1.0,1,1
R Sharma,0.5,2,1
NM Coulter-Nile,2.0,1,2
MK Tiwary,0.0,1,0
P Suyal,1.0,1,1
RG Sharma,0.5,2,1
YK Pathan,0.0,1,0
M de Lange,2.0,1,2
JO Holder,1.0,1,1
