,Average_wickets,No_of_matches,Wickets
JD Unadkat,2.0,12,24
Washington Sundar,0.8,10,8
LH Ferguson,0.75,4,3
SN Thakur,0.9166666666666666,12,11
A Zampa,1.1666666666666667,6,7
DT Christian,0.8461538461538461,13,11
HH Pandya,0.4615384615384616,13,6
MJ McClenaghan,1.4615384615384617,13,19
Harbhajan Singh,0.7,10,7
SL Malinga,0.8181818181818182,11,9
KH Pandya,0.5833333333333334,12,7
JJ Bumrah,1.125,16,18
S Nadeem,0.8571428571428571,7,6
K Rabada,1.0,6,6
PJ Cummins,1.25,12,15
Mohammed Shami,0.625,8,5
A Mishra,0.7142857142857143,14,10
MN Samuels,0.0,2,0
CJ Anderson,0.375,8,3
BA Stokes,1.0,12,12
B Kumar,1.8571428571428572,14,26
Mohammed Siraj,1.6666666666666667,6,10
S Kaul,1.6,10,16
Mohammad Nabi,0.6666666666666666,3,2
Rashid Khan,1.2142857142857142,14,17
MC Henriques,0.08333333333333333,12,1
S Badree,1.2857142857142858,7,9
TS Mills,1.0,5,5
S Aravind,0.5,10,5
STR Binny,1.0,4,4
YS Chahal,1.0769230769230769,13,14
P Negi,1.4166666666666667,12,17
TG Southee,1.0,3,3
KA Pollard,0.0,1,0
Sandeep Sharma,1.3076923076923077,13,17
I Sharma,0.0,6,0
MM Sharma,0.9285714285714286,14,13
KC Cariappa,1.0,4,4
AR Patel,1.0714285714285714,14,15
KV Sharma,1.4444444444444444,9,13
PJ Sangwan,1.0,5,5
DS Kulkarni,0.5,6,3
Basil Thampi,0.9166666666666666,12,11
JP Faulkner,1.0,8,8
RA Jadeja,0.4166666666666667,12,5
Ankit Soni,0.3333333333333333,6,2
SK Raina,0.16666666666666666,6,1
P Kumar,1.0,6,6
Tejas Baroka,0.0,1,0
S Kaushik,0.0,3,0
MM Patel,0.5,2,1
AJ Tye,2.0,6,12
DR Smith,0.2222222222222222,9,2
CH Morris,1.3333333333333333,9,12
IK Pathan,0.0,1,0
AB Dinda,0.3333333333333333,3,1
Imran Tahir,1.5,12,18
RD Chahar,1.0,2,2
R Bhatia,0.6666666666666666,3,2
NM Coulter-Nile,1.875,8,15
UT Yadav,1.2142857142857142,14,17
CR Woakes,1.3076923076923077,13,17
SP Narine,0.6666666666666666,15,10
Kuldeep Yadav,1.0909090909090908,11,12
C de Grandhomme,0.4444444444444444,9,4
MG Johnson,1.4,5,7
AS Rajpoot,0.8,5,4
PP Chawla,1.0,6,6
MJ Henry,0.5,2,1
R Tewatia,1.0,3,3
Swapnil Singh,0.25,4,1
A Nehra,1.3333333333333333,6,8
Bipul Sharma,0.42857142857142855,7,3
DJ Hooda,0.6666666666666666,3,2
A Choudhary,1.0,5,5
SR Watson,0.625,8,5
TM Head,0.4,5,2
T Natarajan,0.3333333333333333,6,2
MP Stoinis,0.4,5,2
DL Chahar,0.3333333333333333,3,1
TA Boult,0.8333333333333334,6,5
YK Pathan,0.25,4,1
SS Agarwal,1.0,1,1
NB Singh,0.5,2,1
Z Khan,0.9090909090909092,11,10
CR Brathwaite,0.5,2,1
AF Milne,0.75,4,3
Ankit Sharma,0.0,1,0
BCJ Cutting,0.25,4,1
J Yadav,0.0,2,0
GJ Maxwell,0.875,8,7
VR Aaron,1.1666666666666667,6,7
AD Mathews,0.0,2,0
R Vinay Kumar,2.0,1,2
MS Gony,0.0,1,0
SB Jakati,0.0,2,0
BB Sran,0.0,1,0
Anureet Singh,0.0,1,0
Shakib Al Hasan,0.0,1,0
B Stanlake,1.0,2,2
Iqbal Abdulla,1.0,2,2
Yuvraj Singh,0.5,2,1
RA Tripathi,0.0,1,0
Mustafizur Rahman,0.0,1,0
Avesh Khan,1.0,1,1
HV Patel,3.0,1,3
CJ Jordan,1.0,1,1
