,Average_wickets,No_of_matches,Wickets
Sohail Tanvir,2.0,11,22
SR Watson,1.1333333333333333,15,17
MM Patel,0.9333333333333332,15,14
SK Trivedi,0.8666666666666667,15,13
SK Warne,1.2666666666666666,15,19
RA Jadeja,0.0,2,0
YK Pathan,0.6153846153846154,13,8
GD McGrath,0.8571428571428571,14,12
PJ Sangwan,0.7142857142857143,7,5
A Mishra,1.8333333333333333,6,11
V Sehwag,0.42857142857142855,7,3
MF Maharoof,1.5,10,15
R Bhatia,0.6666666666666666,9,6
JDP Oram,0.75,4,3
MS Gony,1.0625,16,17
JA Morkel,1.3076923076923077,13,17
P Amarnath,1.1666666666666667,6,7
Joginder Sharma,1.1428571428571428,7,8
RP Singh,1.0714285714285714,14,15
DP Vijaykumar,0.4444444444444444,9,4
Y Venugopal Rao,0.2857142857142857,7,2
SB Styris,0.375,8,3
RG Sharma,1.0,1,1
PP Ojha,0.9166666666666666,12,11
SM Pollock,0.8461538461538461,13,11
A Nehra,0.8571428571428571,14,12
DJ Bravo,1.2222222222222223,9,11
RR Raje,0.8333333333333334,6,5
DJ Thornely,0.75,4,3
S Sreesanth,1.2666666666666666,15,19
IK Pathan,1.0714285714285714,14,15
Gagandeep Singh,0.75,4,3
VRV Singh,0.8461538461538461,13,11
PP Chawla,1.1333333333333333,15,17
JR Hopes,0.6363636363636364,11,7
Pankaj Singh,0.0,5,0
D Salunkhe,0.2,5,1
B Lee,1.0,4,4
Yuvraj Singh,0.5,6,3
DNT Zoysa,0.6666666666666666,3,2
SB Bangar,0.4444444444444444,9,4
Shahid Afridi,0.9,10,9
D Kalyankrishna,0.6666666666666666,3,2
B Geeves,0.5,2,1
DL Vettori,1.0,2,2
DW Steyn,1.0,10,10
Z Khan,1.2727272727272727,11,14
P Kumar,0.8461538461538461,13,11
JH Kallis,0.3636363636363637,11,4
B Akhil,0.3333333333333333,6,2
A Kumble,0.7,10,7
DS Kulkarni,1.1,10,11
ST Jayasuriya,0.5,8,4
SD Chitnis,1.0,2,2
AM Nayar,0.2,5,1
M Ntini,0.7777777777777778,9,7
M Muralitharan,0.7333333333333333,15,11
L Balaji,1.2222222222222223,9,11
R Vinay Kumar,0.625,8,5
VY Mahesh,1.4545454545454546,11,16
VS Yeligati,0.0,2,0
CRD Fernando,2.0,5,10
DR Smith,1.25,4,5
Shoaib Akhtar,1.6666666666666667,3,5
I Sharma,0.5384615384615384,13,7
AB Dinda,0.75,12,9
SC Ganguly,0.8571428571428571,7,6
Iqbal Abdulla,0.0,1,0
LR Shukla,0.6666666666666666,9,6
WA Mota,0.5,2,1
Mohammad Asif,1.0,8,8
Shoaib Malik,0.4,5,2
RR Powar,0.6,5,3
SB Joshi,0.25,4,1
SK Raina,0.5,2,1
S Vidyut,1.0,1,1
V Kohli,0.5,4,2
AB Agarkar,0.8888888888888888,9,8
DJ Hussey,0.4,5,2
Mohammad Hafeez,0.5,4,2
M Kartik,0.6,5,3
Abdur Razzak,0.0,1,0
Harbhajan Singh,1.6666666666666667,3,5
MA Khote,1.0,2,2
AA Noffke,1.0,1,1
CL White,0.0,1,0
WPUJC Vaas,1.0,5,5
DB Ravi Teja,1.0,1,1
LPC Silva,0.0,1,0
Umar Gul,2.0,6,12
A Symonds,0.0,3,0
A Nel,1.0,1,1
CK Kapugedera,0.0,3,0
AD Mascarenhas,2.0,1,2
PM Sarvesh Kumar,0.5,2,1
TM Dilshan,1.0,1,1
K Goel,0.0,1,0
BAW Mendis,1.0,1,1
