,Average_wickets,No_of_matches,Wickets
MM Patel,0.75,4,3
SW Tait,1.375,8,11
SK Warne,0.7857142857142857,14,11
SK Trivedi,1.1,10,11
AC Voges,0.0,7,0
YK Pathan,0.4545454545454545,11,5
RG Sharma,0.2222222222222222,9,2
RJ Harris,1.75,8,14
A Symonds,0.75,16,12
Jaskaran Singh,1.0,6,6
PP Ojha,1.3125,16,21
R Sharma,0.8333333333333334,6,5
P Kumar,0.8333333333333334,12,10
DW Steyn,1.0,15,15
A Kumble,1.0625,16,17
JH Kallis,0.8125,16,13
KP Pietersen,0.5,6,3
R Vinay Kumar,1.1428571428571428,14,16
R Ashwin,1.181818181818182,11,13
DE Bollinger,1.5,8,12
SB Jakati,1.181818181818182,11,13
JA Morkel,0.6923076923076923,13,9
L Balaji,1.0,6,6
SK Raina,0.5454545454545454,11,6
MF Maharoof,1.1428571428571428,7,8
AB McDonald,1.25,4,5
A Mishra,1.2142857142857142,14,17
UT Yadav,0.8571428571428571,7,6
S Ladda,0.8,5,4
PD Collingwood,0.8333333333333334,6,5
V Sehwag,1.0,3,3
S Sreesanth,0.6666666666666666,6,4
RR Powar,0.42857142857142855,7,3
J Theron,1.1428571428571428,7,8
PP Chawla,0.8571428571428571,14,12
Bipul Sharma,0.75,4,3
IK Pathan,1.0714285714285714,14,15
RS Bopara,1.0,5,5
AD Mascarenhas,2.0,2,4
Kamran Khan,1.0,3,3
A Uniyal,1.0,2,2
AA Jhunjhunwala,0.0,5,0
AG Murtaza,1.0,3,3
CRD Fernando,1.4,5,7
R McLaren,0.4,10,4
DJ Bravo,0.4,10,4
STR Binny,0.0,1,0
JP Duminy,0.5,2,1
R Sathish,0.5,4,2
DP Nannes,0.7777777777777778,9,7
Y Nagar,1.0,1,1
MC Henriques,1.0,1,1
CH Gayle,0.6666666666666666,6,4
CK Langeveldt,1.6666666666666667,3,5
I Sharma,1.0,7,7
DJ Hussey,0.0,5,0
AD Mathews,0.6666666666666666,12,8
M Kartik,0.9,10,9
AB Agarkar,0.5714285714285714,7,4
PJ Sangwan,1.125,8,9
B Lee,0.0,4,0
L Ablish,1.5,2,3
Yuvraj Singh,0.5,10,5
S Narwal,1.0,5,5
Z Khan,1.0714285714285714,14,15
SL Malinga,1.1538461538461535,13,15
ST Jayasuriya,0.5,4,2
SJ Srivastava,0.75,8,6
Harbhajan Singh,1.2142857142857142,14,17
AN Ahmed,0.0,1,0
KA Pollard,1.25,12,15
AB Dinda,1.2857142857142858,7,9
BAW Mendis,1.0,2,2
SC Ganguly,0.0,3,0
Iqbal Abdulla,0.3333333333333333,3,1
S Tyagi,0.16666666666666666,6,1
T Thushara,1.25,4,5
BJ Hodge,0.5,4,2
RS Gavaskar,0.0,1,0
V Kohli,0.0,4,0
A Mithun,1.0,1,1
KP Appanna,0.5,2,1
CL White,0.0,1,0
AP Dole,1.6666666666666667,3,5
SR Watson,1.0,6,6
FY Fazal,0.0,2,0
MS Gony,0.5,2,1
M Muralitharan,1.0833333333333333,12,13
C Ganapathy,0.0,1,0
SE Bond,1.125,8,9
JD Unadkat,1.3333333333333333,3,4
MK Tiwary,1.0,1,1
DR Smith,0.5,2,1
RP Singh,1.0833333333333333,12,13
Harmeet Singh,1.0,8,8
WPUJC Vaas,1.5,6,9
R Bhatia,0.6,5,3
MR Marsh,0.6666666666666666,3,2
JM Kemp,0.75,4,3
Joginder Sharma,0.6666666666666666,3,2
NLTC Perera,0.0,1,0
VS Malik,0.3333333333333333,3,1
K Goel,0.0,1,0
DL Vettori,0.6666666666666666,3,2
A Nehra,1.5,4,6
TM Dilshan,0.75,4,3
LR Shukla,0.75,4,3
AJ Finch,0.0,1,0
M Morkel,0.0,2,0
KAJ Roach,0.0,2,0
Pankaj Singh,1.0,2,2
SB Wagh,1.0,1,1
MB Parmar,0.0,1,0
VY Mahesh,1.0,1,1
TL Suman,0.0,2,0
S Sriram,0.0,1,0
DS Kulkarni,1.0,1,1
YA Abdulla,0.5,2,1
ND Doshi,1.0,1,1
B Akhil,0.0,1,0
RE van der Merwe,2.0,1,2
Y Venugopal Rao,0.0,1,0
VRV Singh,0.0,1,0
