Player,Runs_scored,Balls,Overs,Runs_given,Wickets
RA Tripathi,0,0,0,0,0 
AM Rahane ,0,0,0,0,0
SPD Smith ,0,0,0,0,0
JC Buttler ,0,0,0,0,0
BA Stokes ,0,0,0,0,0
SV Samson ,0,0,0,0,0
Mahipal Lomror,0,0,0,0,0
Jofra Archer,0,0,0,0,0
Gowtham Krishnappa  ,0,0,0,0,0
JD Unadkat ,0,0,0,0,0
DS Kulkarni ,0,0,0,0,0
Darcy Short ,0,0,0,0,0
Zahir Khan Pakteen ,0,0,0,0,0
B Laughlin ,0,0,0,0,0
Dushmanta Chameera 
STR Binny ,0,0,0,0,0
Aryaman Vikram Birla ,0,0,0,0,0
Anureet Singh ,0,0,0,0,0
Prashant Chopra ,0,0,0,0,0
Ankit Sharma ,0,0,0,0,0
Midhun S ,0,0,0,0,0
S Gopal ,0,0,0,0,0
Jatin Saxena ,0,0,0,0,0
 
