Player,Runs_scored,Balls,Overs,Runs_given,Wickets
SP Narine,0,0,0,0,0 
RV Uthappa,0,0,0,0,0
KD Karthik,0,0,0,0,0
N Rana ,0,0,0,0,0
Shubman Gill,0,0,0,0,0
AD Russell ,0,0,0,0,0
Kuldeep Yadav,0,0,0,0,0
MA Starc ,0,0,0,0,0
MG Johnson,0,0,0,0,0
PP Chawla ,0,0,0,0,0
R Vinay Kumar,0,0,0,0,0
Kamlesh Nagarkoti ,0,0,0,0,0
Shivam Mavi ,0,0,0,0,0
Rinku Singh ,0,0,0,0,0
Cameron Delport ,0,0,0,0,0
Javon Searless ,0,0,0,0,0
IR Jaggi ,0,0,0,0,0
Apoorv Wankhade ,0,0,0,0,0
