,3_w,Economy,Runs,Wickets
A Mishra,14.0,7.12,3176.0,133.0
SL Malinga,15.0,6.16,2737.0,152.0
Harbhajan Singh,9.0,6.63,3273.0,126.0
PP Chawla,10.0,7.39,3171.0,126.0
DJ Bravo,10.0,7.57,2658.0,122.0
B Kumar,11.0,6.56,2244.0,111.0
