,3_w,Economy,Runs,Wickets
SC Ganguly,0.0,7.81,336.0,10.0
Mohammad Asif,0.0,8.76,289.0,8.0
HH Pandya,0.0,8.47,525.0,10.0
AN Ahmed,0.0,7.78,467.0,12.0
J Theron,1.0,7.38,288.0,11.0
R McLaren,0.0,8.39,520.0,12.0
Pankaj Singh,0.0,8.88,453.0,11.0
SB Joshi,0.0,9.11,82.0,1.0
AS Raut,0.0,8.8,44.0,0.0
V Pratap Singh,0.0,8.26,289.0,10.0
S Dhawan,0.0,8.12,65.0,4.0
A Mithun,0.0,8.62,448.0,7.0
P Parameswaran,1.0,8.42,219.0,9.0
TM Dilshan,0.0,8.02,361.0,5.0
J Syed Mohammad,0.0,8.87,266.0,8.0
VRV Singh,1.0,8.7,531.0,12.0
JR Hopes,0.0,8.84,539.0,14.0
B Akhil,0.0,7.34,235.0,6.0
S Badree,1.0,7.19,309.0,11.0
Shoaib Ahmed,0.0,8.88,151.0,5.0
TL Suman,0.0,7.8,195.0,6.0
MP Stoinis,2.0,8.68,295.0,10.0
KC Cariappa,0.0,8.77,307.0,8.0
Swapnil Singh,0.0,8.9,89.0,1.0
SS Sarkar,0.0,8.5,34.0,1.0
BAW Mendis,0.0,7.49,277.0,6.0
Karanveer Singh,2.0,8.91,312.0,12.0
M Vijay,0.0,8.0,48.0,0.0
GJ Maxwell,0.0,8.35,451.0,11.0
Basil Thampi,1.0,9.0,414.0,11.0
Ankit Soni,0.0,7.83,141.0,2.0
MN Samuels,1.0,7.72,278.0,9.0
CJ Anderson,0.0,9.0,387.0,8.0
DL Chahar,0.0,9.17,110.0,1.0
JDP Oram,1.0,8.55,342.0,9.0
Joginder Sharma,0.0,8.93,402.0,12.0
DJG Sammy,1.0,8.52,341.0,11.0
C Munro,0.0,7.5,15.0,0.0
C de Grandhomme,1.0,7.59,129.0,4.0
RS Bopara,1.0,7.89,276.0,11.0
AA Jhunjhunwala,0.0,9.0,126.0,1.0
DJ Harris,0.0,8.67,26.0,0.0
BA Bhatt,1.0,7.78,389.0,12.0
BE Hendricks,1.0,8.62,224.0,9.0
AC Voges,0.0,8.22,74.0,0.0
AP Dole,0.0,8.75,105.0,5.0
VS Malik,0.0,7.26,254.0,6.0
DJ Hussey,0.0,8.81,467.0,8.0
Mohammed Siraj,1.0,9.09,209.0,10.0
M Ashwin,1.0,8.07,234.0,7.0
Y Venugopal Rao,0.0,8.89,329.0,6.0
AB McDonald,0.0,8.34,242.0,10.0
V Kohli,0.0,8.05,354.0,4.0
SB Wagh,1.0,7.28,131.0,5.0
S Randiv,0.0,7.23,217.0,6.0
T Natarajan,0.0,8.38,109.0,2.0
DJ Muthuswami,0.0,7.21,101.0,4.0
Kamran Khan,1.0,7.86,228.0,10.0
D du Preez,1.0,7.86,55.0,4.0
Jaskaran Singh,0.0,9.0,162.0,6.0
AM Nayar,1.0,7.97,311.0,9.0
J Suchith,0.0,8.55,359.0,10.0
PC Valthaty,1.0,7.96,199.0,7.0
T Shamsi,0.0,9.19,147.0,3.0
SD Chitnis,0.0,9.0,54.0,2.0
S Tyagi,0.0,7.89,284.0,6.0
