,3_w,Economy,Runs,Wickets
V Shankar,0.0,19.0,19.0,0.0
P Prasanth,0.0,18.0,18.0,0.0
CK Kapugedera,0.0,24.5,49.0,0.0
Sunny Gupta,0.0,15.0,45.0,0.0
I Malhotra,0.0,23.0,23.0,0.0
B Chipli,0.0,20.0,20.0,0.0
RR Bhatkal,0.0,17.5,35.0,0.0
LPC Silva,0.0,21.0,21.0,0.0
F du Plessis,0.0,16.0,16.0,0.0
S Sriram,0.0,16.33,49.0,0.0
MG Neser,0.0,15.25,61.0,0.0
