,3_w,Economy,Runs,Wickets
JP Faulkner,7.0,8.14,1710.0,60.0
SK Trivedi,5.0,7.1,1840.0,65.0
I Sharma,1.0,7.44,2061.0,53.0
AB Dinda,5.0,7.53,1987.0,69.0
MM Patel,7.0,7.26,1670.0,74.0
SK Warne,5.0,6.94,1408.0,57.0
M Muralitharan,4.0,6.28,1626.0,61.0
MJ McClenaghan,7.0,7.7,1224.0,54.0
KA Pollard,3.0,7.96,1688.0,56.0
M Morkel,6.0,7.09,1970.0,76.0
JH Kallis,2.0,7.44,2218.0,65.0
L Balaji,7.0,7.46,1924.0,75.0
R Bhatia,4.0,7.2,1986.0,71.0
Sandeep Sharma,9.0,7.33,1517.0,70.0
AR Patel,3.0,7.11,1485.0,56.0
YS Chahal,6.0,7.55,1532.0,70.0
MG Johnson,3.0,7.33,1393.0,59.0
DS Kulkarni,7.0,7.23,1757.0,75.0
JD Unadkat,6.0,7.89,1271.0,55.0
CH Morris,6.0,7.11,1230.0,54.0
