,3_w,Economy,Runs,Wickets
RA Jadeja,9.0,7.51,2457.0,82.0
JA Morkel,5.0,7.52,2233.0,83.0
IK Pathan,4.0,7.3,2569.0,80.0
UT Yadav,10.0,7.74,2616.0,91.0
Z Khan,10.0,7.1,2691.0,103.0
P Kumar,3.0,7.08,3106.0,90.0
R Vinay Kumar,10.0,7.99,2811.0,100.0
DW Steyn,8.0,6.14,2178.0,91.0
SP Narine,11.0,6.12,1971.0,95.0
SR Watson,8.0,7.14,2305.0,86.0
R Ashwin,5.0,6.11,2377.0,100.0
MM Sharma,10.0,7.83,2043.0,83.0
RP Singh,11.0,7.11,2189.0,90.0
A Nehra,14.0,7.36,2422.0,106.0
PP Ojha,5.0,6.98,2261.0,89.0
