,3_w,Economy,Runs,Wickets
STR Binny,0.0,7.22,635.0,21.0
CH Gayle,1.0,7.15,658.0,18.0
AB Agarkar,1.0,8.14,1099.0,29.0
LR Shukla,2.0,7.94,429.0,15.0
BJ Hodge,2.0,7.54,294.0,17.0
A Singh,3.0,7.44,603.0,28.0
J Botha,1.0,6.62,781.0,25.0
VY Mahesh,2.0,8.1,478.0,21.0
MF Maharoof,1.0,6.77,494.0,27.0
SK Raina,0.0,7.09,1077.0,25.0
KH Pandya,1.0,6.94,479.0,13.0
RG Sharma,2.0,7.46,425.0,15.0
SJ Srivastava,0.0,8.02,409.0,14.0
RE van der Merwe,1.0,6.48,486.0,21.0
GB Hogg,2.0,7.17,552.0,23.0
Ankit Sharma,0.0,6.92,408.0,12.0
JP Duminy,1.0,6.78,766.0,23.0
A Ashish Reddy,1.0,8.61,379.0,17.0
RR Powar,0.0,6.86,501.0,13.0
KW Richardson,1.0,7.98,431.0,19.0
PV Tambe,2.0,7.29,795.0,28.0
BW Hilfenhaus,1.0,7.09,461.0,22.0
IC Pandey,0.0,7.49,584.0,18.0
SW Tait,4.0,6.26,557.0,24.0
Harmeet Singh,2.0,7.31,665.0,26.0
DR Smith,2.0,8.55,787.0,26.0
CK Langeveldt,1.0,6.59,178.0,13.0
Anureet Singh,1.0,8.22,485.0,14.0
DP Nannes,2.0,6.44,734.0,28.0
Mohammed Shami,0.0,8.11,884.0,18.0
PJ Cummins,0.0,7.57,477.0,17.0
A Zampa,2.0,7.3,270.0,19.0
WD Parnell,3.0,6.51,651.0,27.0
MR Marsh,1.0,7.52,391.0,19.0
CR Woakes,2.0,8.09,372.0,17.0
Bipul Sharma,0.0,7.74,557.0,17.0
AD Mathews,2.0,7.87,1054.0,27.0
BA Stokes,2.0,6.78,305.0,12.0
TA Boult,2.0,7.97,470.0,15.0
R Dhawan,0.0,7.13,606.0,18.0
BB Sran,1.0,7.98,455.0,14.0
S Kaul,3.0,8.04,579.0,22.0
Rashid Khan,2.0,6.52,352.0,17.0
Azhar Mahmood,4.0,7.4,681.0,29.0
ST Jayasuriya,1.0,7.5,375.0,13.0
Mustafizur Rahman,1.0,6.83,444.0,17.0
TG Southee,1.0,7.68,852.0,20.0
YA Abdulla,3.0,7.95,294.0,15.0
B Lee,1.0,6.86,1042.0,25.0
A Symonds,1.0,7.29,656.0,20.0
WPUJC Vaas,1.0,7.19,345.0,18.0
R Rampaul,1.0,6.48,272.0,16.0
D Wiese,1.0,8.12,390.0,16.0
AD Mascarenhas,2.0,6.92,353.0,19.0
DL Vettori,2.0,6.69,870.0,28.0
AC Thomas,1.0,7.43,379.0,14.0
CRD Fernando,1.0,6.8,279.0,17.0
Sohail Tanvir,5.0,5.59,246.0,22.0
Kuldeep Yadav,1.0,7.94,429.0,18.0
