,0,1,2,3,4,5,6,wickets
Niraj Patel,16,11,3,0,10,0,0,1
Younis Khan,4,3,0,0,0,0,0,1
Kamran Akmal,2,2,0,0,1,0,3,1
M Rawat,9,5,2,0,2,0,1,0
D Salunkhe,1,0,1,0,1,0,0,1
Pankaj Singh,4,1,0,0,0,0,0,0
HM Amla,49,71,11,1,25,0,7,4
DJ Bravo,11,9,0,0,4,0,0,1
L Ronchi,6,1,0,0,1,0,1,0
ST Jayasuriya,6,1,0,0,0,0,0,1
SS Tiwary,8,11,0,0,2,0,1,3
SM Pollock,10,8,0,0,2,0,1,1
MA Khote,2,4,0,0,1,0,0,1
A Nehra,11,4,0,0,0,0,0,1
RS Bopara,44,48,8,3,11,0,1,4
JP Duminy,10,23,0,0,2,0,2,1
R Sathish,20,27,8,1,5,0,3,3
R McLaren,7,2,0,0,0,0,0,2
NS Naik,2,1,0,0,0,0,0,1
JEC Franklin,8,12,1,0,2,0,0,1
RJ Peterson,2,2,0,0,2,0,1,0
R Dhawan,13,16,2,0,3,0,2,1
BE Hendricks,2,1,0,0,0,0,0,1
Shivam Sharma,0,1,0,0,0,0,0,0
Anureet Singh,5,7,0,0,2,0,0,2
Sandeep Sharma,1,1,0,0,0,0,0,0
MM Sharma,4,3,0,0,0,0,0,2
P Sahu,0,1,0,0,0,0,0,0
KJ Abbott,2,1,1,1,0,0,1,0
SC Ganguly,26,19,3,0,10,0,1,3
AD Mathews,8,6,4,0,4,0,0,2
Mohammad Hafeez,7,3,0,0,1,0,1,1
DB Das,8,2,0,0,1,0,0,2
LR Shukla,4,5,1,0,0,0,0,1
AB Agarkar,1,1,0,0,0,0,0,0
TM Dilshan,3,0,0,0,0,0,0,1
M Manhas,18,22,7,0,5,0,1,1
S Anirudha,1,0,0,0,0,0,0,1
Q de Kock,11,9,2,1,6,0,2,1
CR Brathwaite,3,0,1,0,1,0,1,1
EJG Morgan,21,25,5,0,8,0,1,2
SMSM Senanayake,1,1,0,0,0,0,0,1
I Sharma,0,1,0,0,1,0,0,0
Harmeet Singh,2,1,1,0,0,0,0,0
P Awana,5,1,0,0,0,0,0,2
SPD Smith,16,21,6,0,6,0,0,2
LJ Wright,2,0,2,0,6,0,1,1
DT Christian,2,4,2,0,1,0,2,1
DJ Hooda,5,10,3,0,3,0,1,1
BCJ Cutting,5,2,2,0,0,0,2,0
JC Buttler,5,4,1,0,3,0,1,1
HH Pandya,1,0,0,0,1,0,0,1
Bipul Sharma,0,2,2,0,0,0,0,0
SJ Srivastava,1,2,1,0,0,0,0,1
MP Stoinis,27,37,12,0,10,0,3,2
F Behardien,1,5,0,0,1,0,0,0
F du Plessis,32,42,8,2,13,0,1,2
MA Agarwal,5,3,0,0,0,0,0,2
KM Jadhav,4,0,0,0,0,0,0,1
JDS Neesham,13,4,2,0,1,0,0,1
Imran Tahir,3,0,0,0,1,0,0,1
JD Unadkat,1,0,0,0,0,0,0,1
SA Asnodkar,4,3,1,0,1,0,0,1
LRPL Taylor,5,0,0,0,0,0,0,1
AL Menaria,17,24,7,0,3,0,3,2
AS Raut,7,10,0,1,3,0,0,1
DH Yagnik,4,4,1,0,1,0,0,0
SK Warne,1,1,0,0,1,0,0,0
GH Vihari,10,2,0,0,3,0,0,2
BB Samantray,1,0,0,0,0,0,0,1
DJG Sammy,3,0,0,0,0,0,0,1
KV Sharma,9,6,0,1,2,0,1,1
NLTC Perera,10,10,3,0,3,0,2,2
DW Steyn,2,1,0,0,0,0,0,0
MN Samuels,11,2,0,0,0,0,0,1
R Sharma,3,0,1,0,0,0,0,1
AB Dinda,3,2,0,0,0,0,0,0
CA Pujara,24,13,3,0,8,0,0,1
SM Katich,29,21,8,1,11,0,2,1
AB McDonald,1,4,0,0,1,0,0,0
DL Vettori,1,2,0,0,0,0,0,0
R Ashwin,1,1,0,0,0,0,0,0
J Botha,1,4,1,0,2,0,0,0
TM Srivastava,4,4,0,1,0,0,0,1
J Theron,2,2,0,0,0,0,0,1
RR Powar,5,1,1,0,0,0,0,1
YA Abdulla,1,0,0,0,0,0,0,0
A Ashish Reddy,0,4,1,0,1,0,2,0
