,0,1,2,3,4,5,6,wickets
GC Smith,14,1,2,0,5,0,0,1
SA Asnodkar,7,5,2,0,6,0,1,1
Sohail Tanvir,3,1,0,0,1,0,0,1
SR Watson,70,48,7,0,16,0,13,6
M Kaif,5,6,0,0,0,0,1,1
YK Pathan,45,58,5,0,18,0,7,6
RA Jadeja,31,27,9,0,8,0,6,7
SK Warne,1,0,0,0,0,0,0,1
M Rawat,2,2,0,0,0,0,0,1
SK Trivedi,4,2,2,0,0,0,0,0
AM Rahane,70,59,12,1,23,0,7,5
RA Tripathi,11,14,2,1,3,0,2,2
SPD Smith,18,36,6,0,8,0,0,4
MK Tiwary,60,60,8,0,15,0,5,5
MS Dhoni,80,66,11,0,16,0,12,8
HH Gibbs,19,4,0,0,1,1,0,1
SR Tendulkar,278,211,38,1,94,0,10,23
KD Karthik,169,154,31,0,57,2,12,22
RG Sharma,361,460,53,3,118,1,59,38
AT Rayudu,239,262,30,1,71,0,29,32
KA Pollard,268,244,46,1,68,0,66,34
DR Smith,158,72,16,1,37,0,15,12
Harbhajan Singh,96,68,17,0,37,0,17,16
SL Malinga,6,5,0,0,1,0,2,3
RP Singh,6,4,0,0,0,0,0,2
HH Pandya,63,60,5,0,18,0,13,10
PA Patel,181,125,25,1,66,0,8,21
JC Buttler,81,51,6,0,22,0,9,9
KH Pandya,27,21,9,1,12,0,3,6
TG Southee,3,7,4,0,1,0,2,1
ST Jayasuriya,48,16,3,1,21,0,17,2
RV Uthappa,89,71,16,2,24,0,5,11
DJ Thornely,11,1,0,0,0,0,0,1
AC Blizzard,31,10,2,1,15,0,2,3
JEC Franklin,74,70,13,0,12,0,5,7
TL Suman,32,12,0,0,6,0,3,5
R Sathish,7,0,0,0,0,0,0,1
A Symonds,31,35,2,0,3,0,2,1
G Gambhir,58,52,9,0,19,0,2,8
Shakib Al Hasan,15,20,6,0,9,0,0,4
SA Yadav,11,23,1,0,6,0,0,4
AD Russell,8,6,3,0,3,0,0,2
CA Lynn,16,12,6,0,3,0,1,1
SK Raina,96,101,8,0,36,0,23,8
BB McCullum,68,58,9,0,23,0,9,8
Ishan Kishan,6,7,0,0,1,0,0,1
JJ Roy,1,4,0,0,1,0,1,0
BR Dunk,9,4,2,0,3,0,0,2
CM Gautam,43,12,3,0,6,0,5,3
CJ Anderson,48,23,9,0,14,0,11,5
AP Tare,22,21,8,0,14,0,3,5
AM Nayar,13,27,3,0,4,0,3,4
SM Pollock,4,4,0,0,3,0,2,2
PR Shah,13,10,3,0,2,0,0,2
SD Chitnis,0,3,1,0,1,0,1,1
A Nehra,6,1,0,0,0,0,0,2
CRD Fernando,0,0,1,0,0,0,0,1
VS Yeligati,1,0,1,0,0,0,0,1
R Dravid,32,28,5,0,11,0,0,3
RT Ponting,15,6,0,0,2,0,0,2
M Vijay,49,21,5,0,12,0,4,7
F du Plessis,51,49,4,1,10,0,5,5
