,0,1,2,3,4,5,6,wickets
SR Tendulkar,27,19,3,0,10,0,0,3
DJ Thornely,10,8,0,0,0,0,0,1
PR Shah,5,2,0,0,2,0,0,1
YV Takawale,2,1,2,0,0,0,0,0
RR Raje,1,1,0,0,0,0,0,0
KH Pandya,24,28,7,0,6,0,5,1
MG Johnson,6,7,0,0,0,0,1,0
RR Sarwan,6,7,0,0,2,0,0,0
DPMD Jayawardene,14,12,2,0,7,0,2,1
CA Lynn,7,2,0,0,1,0,0,1
VVS Laxman,25,20,1,0,11,0,0,3
HH Gibbs,37,14,1,1,9,0,2,4
SB Bangar,13,13,0,0,0,0,0,3
D Kalyankrishna,5,3,0,0,0,0,0,1
I Malhotra,0,3,0,0,1,0,0,0
Q de Kock,17,12,0,0,5,0,2,2
MS Bisla,13,3,0,0,3,0,0,1
JH Kallis,41,28,3,1,12,0,0,4
P Dogra,4,3,1,0,0,0,0,1
SP Narine,4,2,0,0,0,0,0,2
Iqbal Abdulla,1,2,0,0,0,0,0,0
AS Yadav,12,6,2,0,5,0,1,6
WPUJC Vaas,6,5,5,0,0,0,1,1
BA Stokes,10,7,5,0,1,0,3,1
SN Thakur,1,0,0,0,0,0,0,1
PP Chawla,7,5,1,0,1,0,2,1
Gurkeerat Singh,5,10,0,0,1,0,1,3
AD Mascarenhas,1,3,1,0,0,0,0,0
MS Gony,1,0,0,0,0,0,0,1
AD Russell,3,2,0,0,0,0,0,1
SV Samson,22,31,7,0,3,0,4,3
SW Billings,5,1,0,0,3,0,0,1
KK Nair,17,15,0,0,8,0,1,1
RR Pant,12,9,2,0,2,0,3,1
SS Iyer,7,16,1,0,5,0,2,0
AD Mathews,8,15,3,0,3,0,1,2
Mohammad Nabi,2,0,1,0,0,0,0,1
MEK Hussey,14,19,2,0,5,0,4,1
M Vijay,24,7,0,0,6,0,4,3
W Jaffer,3,1,0,0,1,0,0,0
Misbah-ul-Haq,13,8,2,0,4,0,1,1
B Akhil,1,1,0,0,2,0,3,0
BJ Hodge,2,4,0,0,1,0,0,1
JP Faulkner,2,0,0,0,0,0,1,1
KK Cooper,3,2,3,0,3,0,1,1
PV Tambe,3,3,0,0,0,0,0,0
SK Trivedi,1,0,0,0,0,0,0,0
SP Jackson,5,10,1,0,1,0,0,1
C de Grandhomme,6,6,1,0,1,0,1,1
CR Woakes,0,2,0,0,1,0,0,0
A Symonds,32,36,9,1,17,0,8,1
V Shankar,3,7,2,0,1,0,0,0
NS Naik,14,12,3,0,1,0,0,1
R Dhawan,0,1,1,0,0,0,0,0
GJ Bailey,11,13,1,0,2,0,3,1
Kamran Akmal,5,2,0,0,1,0,1,1
GC Smith,14,19,2,0,9,0,2,1
M Kaif,3,8,0,0,2,0,3,1
SK Warne,3,2,0,0,2,0,2,1
D Salunkhe,0,1,0,0,0,0,0,0
Pankaj Singh,0,2,1,0,0,0,0,0
SP Fleming,5,2,0,0,3,0,0,1
JA Morkel,5,5,0,1,1,0,0,0
SB Styris,15,13,0,0,3,0,0,2
PP Ojha,0,1,0,0,0,0,0,0
Salman Butt,3,0,0,0,1,0,0,1
A Chopra,12,8,2,0,3,0,0,1
T Taibu,1,1,2,0,1,0,0,1
LR Shukla,0,0,0,0,2,0,1,0
BCJ Cutting,1,2,1,0,0,0,2,0
DJ Jacobs,8,6,0,0,5,0,1,1
MN Samuels,7,1,0,0,1,0,0,1
MR Marsh,1,1,0,0,0,0,1,0
R Sharma,1,0,0,0,0,0,0,1
AB Dinda,2,0,0,0,0,0,0,1
UBT Chand,17,5,0,0,3,0,0,1
BMAJ Mendis,1,5,3,0,0,0,0,1
S Nadeem,3,0,0,0,0,0,0,1
UT Yadav,4,0,1,0,0,0,0,0
S Rana,2,2,1,0,2,0,0,1
MA Starc,3,2,0,0,1,0,0,0
MJ Guptill,3,0,1,0,0,0,0,1
JC Buttler,4,5,1,0,1,0,0,1
IR Jaggi,15,9,2,0,3,0,0,1
