,0,1,2,3,4,5,6,wickets
MA Agarwal,12,11,0,0,2,0,0,2
Q de Kock,6,0,1,0,1,1,1,1
SS Iyer,27,33,4,0,7,0,3,3
KK Nair,19,4,1,0,3,0,0,2
SV Samson,24,49,4,0,7,0,5,4
P Negi,23,9,3,0,4,0,2,4
CR Brathwaite,4,0,0,0,0,0,1,1
CH Morris,9,8,1,0,3,0,0,3
NM Coulter-Nile,13,5,0,0,1,0,1,2
A Mishra,21,27,1,0,4,0,1,3
Z Khan,8,0,0,0,1,0,0,1
CH Gayle,132,94,4,0,43,0,34,10
V Kohli,55,59,11,1,14,0,6,5
Mandeep Singh,28,18,4,0,8,0,2,4
AB de Villiers,27,27,7,0,11,0,5,5
KM Jadhav,13,14,2,0,3,0,1,4
STR Binny,16,12,2,0,6,0,1,3
S Badree,3,0,0,0,0,0,0,1
TS Mills,3,2,0,0,0,0,0,1
S Aravind,2,1,0,0,1,0,0,0
YS Chahal,2,0,0,0,0,0,0,1
RV Uthappa,236,267,43,1,102,2,22,22
G Gambhir,438,442,68,3,164,0,26,40
MK Pandey,180,221,24,2,49,0,18,22
YK Pathan,189,237,38,1,65,0,44,27
Shakib Al Hasan,63,80,9,0,19,0,11,8
SA Yadav,51,48,8,0,16,0,9,10
RN ten Doeschate,19,19,5,0,2,0,5,5
PP Chawla,18,25,4,0,7,0,3,5
MS Bisla,114,81,10,0,25,0,5,10
JH Kallis,201,226,20,1,59,0,12,20
EJG Morgan,77,42,7,2,21,0,9,8
SMSM Senanayake,7,7,0,0,0,0,0,0
M Vijay,64,34,7,0,17,0,2,7
M Vohra,49,32,6,0,8,0,8,5
WP Saha,73,59,17,1,19,0,8,8
GJ Maxwell,37,31,5,0,14,0,8,4
DA Miller,24,32,4,0,4,0,5,4
Gurkeerat Singh,11,19,0,0,3,0,2,3
R Dravid,44,29,5,0,16,0,0,4
AM Rahane,44,25,2,0,10,0,0,7
AL Menaria,11,12,0,0,1,0,1,2
SP Goswami,18,13,1,0,3,0,1,2
OA Shah,27,32,3,0,6,0,0,3
BJ Hodge,51,34,3,1,11,0,1,4
J Botha,11,8,1,0,7,0,1,4
AP Tare,18,15,0,0,4,0,2,4
S Dhawan,63,38,5,0,19,0,3,6
SS Tiwary,53,58,3,0,18,0,3,3
JP Duminy,20,26,1,0,4,0,1,3
R Sathish,3,7,0,0,1,0,0,1
DJ Bravo,59,43,8,0,16,0,3,4
AT Rayudu,44,58,16,0,15,0,10,6
R McLaren,2,0,0,0,0,0,0,0
AD Russell,49,48,6,0,20,0,18,6
UBT Chand,1,0,0,0,0,0,0,1
DPMD Jayawardene,58,53,10,1,28,0,4,3
DA Warner,48,15,4,0,11,0,1,6
MC Juneja,4,4,0,0,1,0,0,1
NV Ojha,56,25,4,0,10,0,1,5
IK Pathan,9,20,5,0,3,0,3,2
S Nadeem,5,2,1,0,0,0,0,1
A Nehra,4,1,0,0,0,0,0,1
PA Patel,54,34,1,0,9,0,1,4
SP Fleming,8,6,1,0,6,0,0,0
SC Ganguly,237,143,19,0,55,1,21,13
BB McCullum,143,93,10,0,43,0,11,12
MK Tiwary,188,195,23,4,46,0,13,19
AD Mathews,33,47,8,1,7,0,6,4
DR Smith,82,52,4,1,25,1,9,8
SK Raina,82,76,6,0,22,0,10,10
KD Karthik,60,57,8,0,22,1,1,9
AJ Finch,33,22,6,0,13,0,5,4
RA Jadeja,36,44,4,0,7,0,10,4
GB Hogg,0,5,0,0,0,0,0,0
SP Narine,46,10,0,0,21,0,7,8
CA Pujara,33,25,2,0,8,0,1,1
V Sehwag,21,24,5,0,7,0,4,4
TM Dilshan,23,20,0,0,11,0,0,2
MF Maharoof,4,10,1,0,0,0,0,2
VY Mahesh,4,3,0,0,0,0,0,1
PJ Sangwan,1,0,0,0,0,0,0,1
DB Das,67,59,8,0,14,0,12,6
R Bhatia,16,20,2,0,3,0,0,5
LR Shukla,41,51,3,0,15,0,6,10
L Balaji,2,4,1,0,1,0,0,0
Salman Butt,67,45,5,0,27,0,1,4
A Chopra,15,9,0,0,2,0,0,3
DJ Hussey,112,105,11,0,15,0,13,9
T Taibu,8,8,3,0,2,0,0,2
Iqbal Abdulla,3,6,2,0,1,0,0,0
SP Jackson,5,4,1,0,4,0,0,1
C de Grandhomme,10,19,0,0,7,0,3,4
CR Woakes,14,8,0,0,3,0,0,1
UT Yadav,3,6,1,0,0,0,0,0
DL Vettori,1,8,0,0,2,0,0,0
R Vinay Kumar,4,5,1,0,1,0,0,1
RG Sharma,105,112,10,0,46,0,17,8
KA Pollard,36,48,9,0,13,0,9,5
Harbhajan Singh,25,11,2,0,9,0,2,2
R Dhawan,9,7,2,0,1,0,1,2
SR Watson,48,31,4,0,16,0,2,5
AG Paunikar,7,5,1,0,2,0,0,1
FY Fazal,4,12,0,0,1,0,0,1
AS Raut,10,7,1,0,1,0,0,3
LRPL Taylor,5,4,1,0,0,0,0,1
SK Warne,6,4,1,0,0,0,0,0
A Singh,2,0,0,0,0,0,0,1
SW Tait,1,0,0,0,0,0,0,1
SK Trivedi,3,0,0,0,1,0,0,2
MEK Hussey,65,48,5,0,7,0,5,6
MS Dhoni,70,60,17,1,14,0,11,5
F du Plessis,15,27,1,0,7,0,0,4
R Ashwin,24,14,0,0,2,0,0,3
MM Sharma,8,4,2,0,3,0,2,2
AC Gilchrist,51,28,2,0,10,0,3,5
Azhar Mahmood,5,2,0,0,0,0,0,1
MJ Clarke,1,1,0,0,0,0,0,1
SPD Smith,11,11,1,0,1,0,1,2
M Manhas,2,1,0,0,0,0,0,1
WD Parnell,1,1,0,0,0,0,0,1
B Kumar,6,3,1,0,4,0,1,1
C Munro,7,4,1,0,2,0,0,1
JO Holder,8,3,1,0,2,0,1,2
S Badrinath,29,43,9,0,6,0,3,3
TL Suman,5,7,1,0,1,0,1,1
SR Tendulkar,13,16,1,0,6,0,0,3
JEC Franklin,3,11,4,0,5,0,1,0
ML Hayden,7,1,0,0,0,0,0,1
RT Ponting,16,15,0,0,1,0,0,1
Mohammad Hafeez,22,7,0,0,3,0,1,5
MC Henriques,16,27,3,0,5,0,2,3
GH Vihari,8,7,0,0,0,0,0,2
Bipul Sharma,13,16,5,0,3,0,2,2
KV Sharma,17,24,2,0,1,0,3,1
P Kumar,14,7,3,0,2,0,0,2
DW Steyn,5,6,2,0,1,0,0,1
MG Johnson,8,3,1,0,0,0,1,1
SL Malinga,2,0,0,0,0,0,0,1
PP Ojha,0,1,0,0,0,0,0,0
MP Stoinis,11,3,1,0,1,0,0,2
AR Patel,1,5,1,0,1,0,2,1
Swapnil Singh,1,0,0,0,0,0,0,1
Sandeep Sharma,0,1,0,0,0,0,0,0
CJ Anderson,19,17,3,0,4,0,3,1
B Lee,3,4,0,0,0,0,1,2
AC Voges,2,4,0,0,1,0,0,1
P Dogra,12,9,1,1,0,0,0,3
JP Faulkner,3,2,0,1,0,0,0,1
DH Yagnik,5,11,1,0,7,0,0,1
DJG Sammy,11,14,0,0,1,0,3,2
SA Abbott,3,1,0,0,0,0,0,0
HV Patel,1,1,1,0,0,0,1,0
AN Ahmed,0,1,0,0,1,0,0,0
Yuvraj Singh,35,24,2,1,9,0,10,4
DJ Hooda,2,5,0,0,1,0,1,2
BCJ Cutting,3,5,0,0,1,0,1,1
RA Tripathi,24,13,1,0,9,0,7,1
BA Stokes,5,8,1,0,1,0,0,1
DT Christian,9,9,0,1,1,0,3,1
Washington Sundar,2,1,0,0,0,0,0,0
Kuldeep Yadav,9,10,1,0,2,0,0,2
ST Jayasuriya,6,0,0,0,3,0,1,1
HH Gibbs,47,40,5,0,12,0,3,1
RV Gomez,5,4,0,0,0,0,1,0
RR Powar,3,3,0,0,0,0,0,0
J Arunkumar,11,2,0,0,5,0,0,1
S Chanderpaul,8,3,0,0,1,0,0,1
MV Boucher,13,18,3,0,5,0,1,1
CL White,13,24,2,0,6,0,2,1
AB Agarkar,6,5,1,0,2,0,0,1
KK Cooper,1,0,0,0,1,0,0,1
Umar Gul,8,3,0,0,1,0,5,2
I Sharma,10,7,1,0,0,0,0,1
LMP Simmons,23,14,2,0,8,0,3,2
HH Pandya,8,6,2,0,0,0,0,2
KH Pandya,1,0,0,0,0,0,0,0
Y Venugopal Rao,22,10,3,0,5,1,0,2
VVS Laxman,6,0,0,0,0,0,0,1
A Symonds,39,27,5,0,7,0,2,2
SB Styris,4,2,0,0,1,0,0,1
AS Yadav,5,4,0,0,0,0,1,1
SB Bangar,4,4,0,0,1,0,1,1
WPUJC Vaas,1,0,0,0,0,0,0,1
RP Singh,1,1,0,0,0,0,0,1
JA Morkel,20,17,3,0,4,0,1,1
GC Smith,13,6,1,0,4,0,0,1
SA Asnodkar,1,1,0,0,1,0,0,1
Sohail Tanvir,3,3,0,0,1,0,1,1
M Kaif,14,10,4,0,4,0,0,0
PC Valthaty,5,1,1,0,1,0,0,1
SE Marsh,24,14,2,0,4,0,2,3
AM Nayar,2,0,0,0,0,0,0,0
RR Pant,1,2,0,0,1,0,0,1
AR Bawne,4,6,1,0,1,0,0,0
KS Williamson,3,5,1,0,0,0,0,1
BB Sran,0,2,0,0,0,0,0,0
MJ McClenaghan,3,2,0,0,0,0,3,1
JC Buttler,7,7,2,0,3,0,3,1
CA Lynn,8,2,0,0,3,0,2,1
TA Boult,5,1,2,0,0,0,0,0
KC Sangakkara,25,44,4,0,11,0,4,4
DB Ravi Teja,9,12,1,0,1,0,1,2
NLTC Perera,10,16,5,1,2,0,2,2
A Ashish Reddy,2,2,1,0,0,0,0,1
HM Amla,16,7,1,0,4,0,0,1
VR Aaron,3,2,1,0,0,0,0,1
IR Jaggi,7,1,1,0,0,0,0,1
B Chipli,16,18,0,0,6,0,1,2
GJ Bailey,16,18,2,1,4,0,3,3
Karanveer Singh,0,1,0,0,0,0,0,0
M Kartik,17,19,3,1,5,0,0,2
RE van der Merwe,1,1,0,0,0,0,0,1
JR Hopes,4,5,0,0,2,0,0,1
TM Srivastava,0,1,0,0,0,0,0,0
