ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,MS Bisla,P Kumar,G Gambhir,0,caught
0.2,JH Kallis,P Kumar,G Gambhir,0,Not out
0.3,JH Kallis,P Kumar,G Gambhir,0,Not out
0.4,JH Kallis,P Kumar,G Gambhir,0,Not out
0.5,JH Kallis,P Kumar,G Gambhir,1,Not out
0.6,G Gambhir,P Kumar,JH Kallis,0,Not out
1.1,JH Kallis,Azhar Mahmood,G Gambhir,0,Not out
1.2,JH Kallis,Azhar Mahmood,G Gambhir,0,caught
1.3,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
1.4,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
1.5,G Gambhir,Azhar Mahmood,EJG Morgan,0,Not out
1.6,G Gambhir,Azhar Mahmood,EJG Morgan,4,Not out
2.1,EJG Morgan,P Kumar,G Gambhir,1,Not out
2.2,G Gambhir,P Kumar,EJG Morgan,4,Not out
2.3,G Gambhir,P Kumar,EJG Morgan,4,Not out
2.4,G Gambhir,P Kumar,EJG Morgan,1,Not out
2.5,EJG Morgan,P Kumar,G Gambhir,0,Not out
2.6,EJG Morgan,P Kumar,G Gambhir,0,Not out
3.1,G Gambhir,Azhar Mahmood,EJG Morgan,1,Not out
3.2,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
3.3,EJG Morgan,Azhar Mahmood,G Gambhir,2,Not out
3.4,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
3.5,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
3.6,EJG Morgan,Azhar Mahmood,G Gambhir,0,Not out
4.1,G Gambhir,P Kumar,EJG Morgan,4,Not out
4.2,G Gambhir,P Kumar,EJG Morgan,0,Not out
4.3,G Gambhir,P Kumar,EJG Morgan,1,Not out
4.4,EJG Morgan,P Kumar,G Gambhir,4,Not out
4.5,EJG Morgan,P Kumar,G Gambhir,0,Not out
4.6,EJG Morgan,P Kumar,G Gambhir,2,Not out
5.1,G Gambhir,MS Gony,EJG Morgan,1,Not out
5.2,EJG Morgan,MS Gony,G Gambhir,1,Not out
5.3,G Gambhir,MS Gony,EJG Morgan,4,Not out
5.4,G Gambhir,MS Gony,EJG Morgan,1,Not out
5.5,EJG Morgan,MS Gony,G Gambhir,0,Not out
5.6,EJG Morgan,MS Gony,G Gambhir,4,Not out
6.1,G Gambhir,DJ Hussey,EJG Morgan,0,Not out
6.2,G Gambhir,DJ Hussey,EJG Morgan,4,Not out
6.3,G Gambhir,DJ Hussey,EJG Morgan,4,Not out
6.4,G Gambhir,DJ Hussey,EJG Morgan,4,Not out
6.5,G Gambhir,DJ Hussey,EJG Morgan,1,Not out
6.6,EJG Morgan,DJ Hussey,G Gambhir,1,Not out
7.1,EJG Morgan,P Awana,G Gambhir,2,Not out
7.2,EJG Morgan,P Awana,G Gambhir,1,Not out
7.3,G Gambhir,P Awana,EJG Morgan,0,Not out
7.4,G Gambhir,P Awana,EJG Morgan,2,Not out
7.5,G Gambhir,P Awana,EJG Morgan,0,Not out
7.6,G Gambhir,P Awana,EJG Morgan,1,Not out
8.1,G Gambhir,PP Chawla,EJG Morgan,2,Not out
8.2,G Gambhir,PP Chawla,EJG Morgan,1,Not out
8.3,EJG Morgan,PP Chawla,G Gambhir,4,Not out
8.4,EJG Morgan,PP Chawla,G Gambhir,1,Not out
8.5,G Gambhir,PP Chawla,EJG Morgan,1,Not out
8.6,EJG Morgan,PP Chawla,G Gambhir,0,Not out
9.1,G Gambhir,P Awana,EJG Morgan,1,Not out
9.2,EJG Morgan,P Awana,G Gambhir,0,Not out
9.3,EJG Morgan,P Awana,G Gambhir,4,Not out
9.4,EJG Morgan,P Awana,G Gambhir,1,Not out
9.5,G Gambhir,P Awana,EJG Morgan,1,Not out
9.6,EJG Morgan,P Awana,G Gambhir,1,Not out
10.1,EJG Morgan,PP Chawla,G Gambhir,1,Not out
10.2,G Gambhir,PP Chawla,EJG Morgan,1,Not out
10.3,EJG Morgan,PP Chawla,G Gambhir,4,Not out
10.4,EJG Morgan,PP Chawla,G Gambhir,1,Not out
10.5,G Gambhir,PP Chawla,EJG Morgan,1,Not out
10.6,EJG Morgan,PP Chawla,G Gambhir,2,Not out
