ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,MS Bisla,IC Pandey,RR Rossouw,0,Not out
0.2,MS Bisla,IC Pandey,RR Rossouw,4,Not out
0.3,MS Bisla,IC Pandey,RR Rossouw,0,Not out
0.4,MS Bisla,IC Pandey,RR Rossouw,0,Not out
0.5,MS Bisla,IC Pandey,RR Rossouw,4,Not out
0.6,MS Bisla,IC Pandey,RR Rossouw,0,Not out
1.1,RR Rossouw,A Nehra,MS Bisla,1,Not out
1.2,MS Bisla,A Nehra,RR Rossouw,0,Not out
1.3,MS Bisla,A Nehra,RR Rossouw,1,Not out
1.4,RR Rossouw,A Nehra,MS Bisla,0,Not out
1.5,MS Bisla,A Nehra,RR Rossouw,1,Not out
1.6,RR Rossouw,A Nehra,MS Bisla,0,Not out
2.1,MS Bisla,MM Sharma,RR Rossouw,4,Not out
2.2,MS Bisla,MM Sharma,RR Rossouw,3,Not out
2.3,RR Rossouw,MM Sharma,MS Bisla,2,Not out
2.4,RR Rossouw,MM Sharma,MS Bisla,6,Not out
2.5,RR Rossouw,MM Sharma,MS Bisla,0,Not out
2.6,RR Rossouw,MM Sharma,MS Bisla,4,Not out
3.1,MS Bisla,A Nehra,RR Rossouw,0,Not out
3.2,MS Bisla,A Nehra,RR Rossouw,0,Not out
3.3,MS Bisla,A Nehra,RR Rossouw,0,caught
3.4,RR Rossouw,A Nehra,V Kohli,1,Not out
3.5,V Kohli,A Nehra,RR Rossouw,1,Not out
3.6,RR Rossouw,A Nehra,V Kohli,0,bowled
4.1,V Kohli,MM Sharma,KD Karthik,0,Not out
4.2,V Kohli,MM Sharma,KD Karthik,0,Not out
4.3,V Kohli,MM Sharma,KD Karthik,0,Not out
4.4,V Kohli,MM Sharma,KD Karthik,1,Not out
4.5,KD Karthik,MM Sharma,V Kohli,0,Not out
4.6,KD Karthik,MM Sharma,V Kohli,0,Not out
5.1,V Kohli,A Nehra,KD Karthik,2,Not out
5.2,V Kohli,A Nehra,KD Karthik,0,Not out
5.3,V Kohli,A Nehra,KD Karthik,0,Not out
5.4,V Kohli,A Nehra,KD Karthik,0,Not out
5.5,V Kohli,A Nehra,KD Karthik,1,Not out
5.6,KD Karthik,A Nehra,V Kohli,1,Not out
6.1,KD Karthik,MM Sharma,V Kohli,0,Not out
6.2,KD Karthik,MM Sharma,V Kohli,2,Not out
6.3,KD Karthik,MM Sharma,V Kohli,1,Not out
6.4,V Kohli,MM Sharma,KD Karthik,1,Not out
6.5,KD Karthik,MM Sharma,V Kohli,1,Not out
