ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,DR Smith,AR Patel,BB McCullum,1,Not out
0.2,BB McCullum,AR Patel,DR Smith,2,Not out
0.3,BB McCullum,AR Patel,DR Smith,0,Not out
0.4,BB McCullum,AR Patel,DR Smith,0,Not out
0.5,BB McCullum,AR Patel,DR Smith,0,Not out
0.6,BB McCullum,AR Patel,DR Smith,0,Not out
0.7,BB McCullum,AR Patel,DR Smith,1,Not out
1.1,BB McCullum,P Awana,DR Smith,0,Not out
1.2,BB McCullum,P Awana,DR Smith,4,Not out
1.3,BB McCullum,P Awana,DR Smith,4,Not out
1.4,BB McCullum,P Awana,DR Smith,0,Not out
1.5,BB McCullum,P Awana,DR Smith,0,Not out
1.6,BB McCullum,P Awana,DR Smith,0,Not out
1.7,BB McCullum,P Awana,DR Smith,1,Not out
2.1,BB McCullum,MG Johnson,DR Smith,1,Not out
2.2,DR Smith,MG Johnson,BB McCullum,4,Not out
2.3,DR Smith,MG Johnson,BB McCullum,0,Not out
2.4,BB McCullum,MG Johnson,DR Smith,2,Not out
2.5,BB McCullum,MG Johnson,DR Smith,0,Not out
2.6,BB McCullum,MG Johnson,DR Smith,6,Not out
3.1,DR Smith,L Balaji,BB McCullum,0,Not out
3.2,DR Smith,L Balaji,BB McCullum,4,Not out
3.3,DR Smith,L Balaji,BB McCullum,0,Not out
3.4,DR Smith,L Balaji,BB McCullum,0,Not out
3.5,BB McCullum,L Balaji,DR Smith,0,Not out
3.6,BB McCullum,L Balaji,DR Smith,1,Not out
3.7,DR Smith,L Balaji,BB McCullum,1,Not out
4.1,DR Smith,P Awana,BB McCullum,4,Not out
4.2,DR Smith,P Awana,BB McCullum,4,Not out
4.3,DR Smith,P Awana,BB McCullum,1,Not out
4.4,BB McCullum,P Awana,DR Smith,0,Not out
4.5,BB McCullum,P Awana,DR Smith,0,Not out
4.6,BB McCullum,P Awana,DR Smith,2,Not out
4.7,BB McCullum,P Awana,DR Smith,6,Not out
5.1,DR Smith,MG Johnson,BB McCullum,0,Not out
5.2,DR Smith,MG Johnson,BB McCullum,1,Not out
5.3,BB McCullum,MG Johnson,DR Smith,4,Not out
5.4,BB McCullum,MG Johnson,DR Smith,0,Not out
5.5,BB McCullum,MG Johnson,DR Smith,6,Not out
5.6,BB McCullum,MG Johnson,DR Smith,0,Not out
6.1,DR Smith,AR Patel,BB McCullum,0,Not out
6.2,DR Smith,AR Patel,BB McCullum,1,Not out
6.3,BB McCullum,AR Patel,DR Smith,1,Not out
6.4,DR Smith,AR Patel,BB McCullum,0,Not out
6.5,DR Smith,AR Patel,BB McCullum,1,Not out
6.6,BB McCullum,AR Patel,DR Smith,0,Not out
6.7,BB McCullum,AR Patel,DR Smith,0,Not out
6.8,BB McCullum,AR Patel,DR Smith,1,Not out
7.1,BB McCullum,R Dhawan,DR Smith,6,Not out
7.2,BB McCullum,R Dhawan,DR Smith,1,Not out
7.3,DR Smith,R Dhawan,BB McCullum,1,Not out
7.4,BB McCullum,R Dhawan,DR Smith,4,Not out
7.5,BB McCullum,R Dhawan,DR Smith,1,Not out
7.6,DR Smith,R Dhawan,BB McCullum,0,Not out
8.1,BB McCullum,AR Patel,DR Smith,0,Not out
8.2,BB McCullum,AR Patel,DR Smith,1,Not out
8.3,DR Smith,AR Patel,BB McCullum,4,Not out
8.4,DR Smith,AR Patel,BB McCullum,1,Not out
8.5,BB McCullum,AR Patel,DR Smith,0,Not out
8.6,BB McCullum,AR Patel,DR Smith,1,Not out
9.1,BB McCullum,L Balaji,DR Smith,1,Not out
9.2,DR Smith,L Balaji,BB McCullum,2,Not out
9.3,DR Smith,L Balaji,BB McCullum,1,Not out
9.4,BB McCullum,L Balaji,DR Smith,1,Not out
9.5,DR Smith,L Balaji,BB McCullum,0,Not out
9.6,DR Smith,L Balaji,BB McCullum,1,Not out
10.1,DR Smith,GJ Maxwell,BB McCullum,6,Not out
10.2,DR Smith,GJ Maxwell,BB McCullum,2,Not out
10.3,DR Smith,GJ Maxwell,BB McCullum,0,Not out
10.4,DR Smith,GJ Maxwell,BB McCullum,1,Not out
10.5,BB McCullum,GJ Maxwell,DR Smith,1,Not out
10.6,DR Smith,GJ Maxwell,BB McCullum,0,Not out
11.1,BB McCullum,R Dhawan,DR Smith,1,Not out
11.2,DR Smith,R Dhawan,BB McCullum,1,Not out
11.3,BB McCullum,R Dhawan,DR Smith,0,Not out
11.4,BB McCullum,R Dhawan,DR Smith,1,Not out
11.5,DR Smith,R Dhawan,BB McCullum,1,Not out
11.6,BB McCullum,R Dhawan,DR Smith,0,Not out
12.1,DR Smith,AR Patel,BB McCullum,1,Not out
12.2,BB McCullum,AR Patel,DR Smith,6,Not out
12.3,BB McCullum,AR Patel,DR Smith,0,Not out
12.4,BB McCullum,AR Patel,DR Smith,0,caught
12.5,DR Smith,AR Patel,SK Raina,1,Not out
12.6,SK Raina,AR Patel,DR Smith,4,Not out
13.1,DR Smith,R Dhawan,SK Raina,0,Not out
13.2,DR Smith,R Dhawan,SK Raina,1,Not out
