ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,LMP Simmons,UT Yadav,PA Patel,0,Not out
0.2,LMP Simmons,UT Yadav,PA Patel,2,Not out
0.3,LMP Simmons,UT Yadav,PA Patel,1,Not out
0.4,PA Patel,UT Yadav,LMP Simmons,0,Not out
0.5,PA Patel,UT Yadav,LMP Simmons,0,Not out
0.6,PA Patel,UT Yadav,LMP Simmons,4,Not out
1.1,LMP Simmons,PP Chawla,PA Patel,0,Not out
1.2,LMP Simmons,PP Chawla,PA Patel,0,Not out
1.3,LMP Simmons,PP Chawla,PA Patel,0,lbw
1.4,AT Rayudu,PP Chawla,PA Patel,0,Not out
1.5,AT Rayudu,PP Chawla,PA Patel,1,Not out
1.6,PA Patel,PP Chawla,AT Rayudu,0,Not out
1.7,PA Patel,PP Chawla,AT Rayudu,1,Not out
2.1,PA Patel,UT Yadav,AT Rayudu,4,Not out
2.2,PA Patel,UT Yadav,AT Rayudu,4,Not out
2.3,PA Patel,UT Yadav,AT Rayudu,1,Not out
2.4,AT Rayudu,UT Yadav,PA Patel,1,Not out
2.5,PA Patel,UT Yadav,AT Rayudu,0,caught
2.6,RG Sharma,UT Yadav,AT Rayudu,0,Not out
3.1,AT Rayudu,NM Coulter-Nile,RG Sharma,1,Not out
3.2,RG Sharma,NM Coulter-Nile,AT Rayudu,2,Not out
3.3,RG Sharma,NM Coulter-Nile,AT Rayudu,0,Not out
3.4,RG Sharma,NM Coulter-Nile,AT Rayudu,1,Not out
3.5,AT Rayudu,NM Coulter-Nile,RG Sharma,1,Not out
3.6,RG Sharma,NM Coulter-Nile,AT Rayudu,1,Not out
4.1,RG Sharma,SP Narine,AT Rayudu,0,Not out
4.2,RG Sharma,SP Narine,AT Rayudu,1,Not out
4.3,AT Rayudu,SP Narine,RG Sharma,0,Not out
4.4,AT Rayudu,SP Narine,RG Sharma,0,Not out
4.5,AT Rayudu,SP Narine,RG Sharma,0,Not out
4.6,AT Rayudu,SP Narine,RG Sharma,1,Not out
5.1,AT Rayudu,PP Chawla,RG Sharma,1,Not out
5.2,RG Sharma,PP Chawla,AT Rayudu,1,Not out
5.3,AT Rayudu,PP Chawla,RG Sharma,0,Not out
5.4,AT Rayudu,PP Chawla,RG Sharma,0,bowled
5.5,KH Pandya,PP Chawla,RG Sharma,2,Not out
5.6,KH Pandya,PP Chawla,RG Sharma,0,Not out
6.1,RG Sharma,SP Narine,KH Pandya,2,Not out
6.2,RG Sharma,SP Narine,KH Pandya,1,Not out
