ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,T Kohli,GD McGrath,YK Pathan,0,Not out
0.2,T Kohli,GD McGrath,YK Pathan,0,Not out
0.3,T Kohli,GD McGrath,YK Pathan,0,Not out
0.4,T Kohli,GD McGrath,YK Pathan,0,Not out
0.5,T Kohli,GD McGrath,YK Pathan,0,Not out
0.6,T Kohli,GD McGrath,YK Pathan,0,Not out
0.7,T Kohli,GD McGrath,YK Pathan,6,Not out
1.1,YK Pathan,B Geeves,T Kohli,1,Not out
1.2,T Kohli,B Geeves,YK Pathan,0,Not out
1.3,T Kohli,B Geeves,YK Pathan,0,Not out
1.4,T Kohli,B Geeves,YK Pathan,1,Not out
1.5,YK Pathan,B Geeves,T Kohli,4,Not out
1.6,YK Pathan,B Geeves,T Kohli,4,Not out
2.1,T Kohli,GD McGrath,YK Pathan,0,Not out
2.2,T Kohli,GD McGrath,YK Pathan,0,Not out
2.3,T Kohli,GD McGrath,YK Pathan,0,caught
2.4,SR Watson,GD McGrath,YK Pathan,0,Not out
2.5,SR Watson,GD McGrath,YK Pathan,0,Not out
2.6,SR Watson,GD McGrath,YK Pathan,0,Not out
3.1,YK Pathan,B Geeves,SR Watson,1,Not out
3.2,SR Watson,B Geeves,YK Pathan,4,Not out
3.3,SR Watson,B Geeves,YK Pathan,4,Not out
3.4,SR Watson,B Geeves,YK Pathan,1,Not out
3.5,YK Pathan,B Geeves,SR Watson,0,run out
3.6,SR Watson,B Geeves,M Kaif,4,Not out
4.1,M Kaif,GD McGrath,SR Watson,0,Not out
4.2,M Kaif,GD McGrath,SR Watson,0,Not out
4.3,M Kaif,GD McGrath,SR Watson,1,Not out
4.4,SR Watson,GD McGrath,M Kaif,4,Not out
4.5,SR Watson,GD McGrath,M Kaif,0,Not out
4.6,SR Watson,GD McGrath,M Kaif,1,Not out
5.1,SR Watson,MF Maharoof,M Kaif,0,Not out
5.2,SR Watson,MF Maharoof,M Kaif,1,Not out
5.3,M Kaif,MF Maharoof,SR Watson,0,Not out
5.4,M Kaif,MF Maharoof,SR Watson,0,Not out
5.5,SR Watson,MF Maharoof,M Kaif,1,Not out
5.6,M Kaif,MF Maharoof,SR Watson,0,Not out
6.1,SR Watson,R Bhatia,M Kaif,0,Not out
6.2,SR Watson,R Bhatia,M Kaif,1,run out
6.3,M Kaif,R Bhatia,DS Lehmann,2,Not out
6.4,M Kaif,R Bhatia,DS Lehmann,0,Not out
6.5,M Kaif,R Bhatia,DS Lehmann,0,Not out
6.6,M Kaif,R Bhatia,DS Lehmann,1,Not out
7.1,M Kaif,MF Maharoof,DS Lehmann,0,Not out
7.2,DS Lehmann,MF Maharoof,M Kaif,1,Not out
7.3,M Kaif,MF Maharoof,DS Lehmann,1,Not out
7.4,DS Lehmann,MF Maharoof,M Kaif,0,lbw
7.5,RA Jadeja,MF Maharoof,M Kaif,0,Not out
7.6,RA Jadeja,MF Maharoof,M Kaif,1,Not out
8.1,RA Jadeja,R Bhatia,M Kaif,0,Not out
8.2,RA Jadeja,R Bhatia,M Kaif,0,Not out
8.3,RA Jadeja,R Bhatia,M Kaif,0,Not out
8.4,M Kaif,R Bhatia,RA Jadeja,1,Not out
8.5,RA Jadeja,R Bhatia,M Kaif,0,Not out
8.6,RA Jadeja,R Bhatia,M Kaif,1,Not out
9.1,RA Jadeja,MF Maharoof,M Kaif,0,Not out
9.2,M Kaif,MF Maharoof,RA Jadeja,1,Not out
9.3,RA Jadeja,MF Maharoof,M Kaif,1,Not out
